"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0BWSNSTLT","https://m.media-amazon.com/images/I/51VEpXhAiRL._SX450_.jpg","B0BWSNSTLT","DEWALT PRO Backpack on Wheels","DEWALT","Amazon","Tools & Home Improvement",7184,885911906500,"N/A",0885911906500,"N/A","Tool Bags",20,119,-40,1181,194,-34,106903.47,23061.76,1948,4.7,"Amazon","N/A",5,18568,-12,"Large bulky",9,14,19,8.7,"N/A","N/A","11/30/2024",37,9,5,0.61
"https://amazon.com/dp/B0C7J6PKJ2","https://m.media-amazon.com/images/I/71bt1jM3n1L._SX450_.jpg","B0C7J6PKJ2","Klein Tools 62800BP Backpack Tool Bag, Tradesman Pro Extra-Large 40-Pocket Electrician Jobsite Backpack with Molded Bottom, Charging Port","KLEIN TOOLS","Amazon","Tools & Home Improvement",7700,092644628009,00092644628009,0092644628009,"N/A","Tool Bags",21,119.99,-15,1411,686,-2,158751.57,82279.11,239,4.8,"Amazon","N/A",9,15794,"N/A","Large bulky",11.02,15.75,20.87,9.08,"N/A","N/A","11/30/2025",33,12,3,5.9
"https://amazon.com/dp/B0C7J2L2F8","https://m.media-amazon.com/images/I/71j9CWffB7L._SX450_.jpg","B0C7J2L2F8","Klein Tools 62800BPCAMO Backpack Tool Bag, Tradesman Pro Extra-Large 40-Pocket Jobsite Camo Tool Backpack with Molded Bottom, Charging Port","KLEIN TOOLS","Amazon","Tools & Home Improvement",8817,092644628016,00092644628016,0092644628016,"N/A","Tool Bags",23,129.99,-10,1411,132,-2,158751.57,17170.52,148,4.7,"Amazon","N/A",2,15794,"N/A","Extra-large 50+ to 70 lb",16,19,24,10.3,"N/A","N/A","11/30/2025",33,11,3,9.53
"https://amazon.com/dp/B00MK9UY0A","https://m.media-amazon.com/images/I/61LmP-mOWqL._SX450_.jpg","B00MK9UY0A","Klein Tools 55421BP-14 Tool Backpack, Heavy Duty Tradesman Pro Tool Bag Organizer with 39 Pockets, Molded Bottom","KLEIN TOOLS","Amazon","Tools & Home Improvement",8821,767674898806,00092644554674,7241870549500,"N/A","Tool Bags",24,99.97,-20,1411,593,-2,158751.57,59294.63,5254,4.7,"Amazon","N/A",16,15794,"N/A","Large bulky",8.74,16.1,20.87,6.33,"N/A","N/A","11/30/2025",139,9,3,0.27
"https://amazon.com/dp/B0BWSQN5DL","https://m.media-amazon.com/images/I/51S6O9sA7uL._SX450_.jpg","B0BWSQN5DL","DEWALT Tool Backpack, Tool Storage and Organization, Durable and Water Resistant (DWST560102)","DEWALT","Amazon","Tools & Home Improvement",11583,885911906296,"N/A",0885911906296,"N/A","Tool Bags",29,89.98,-18,999,999,-11,91477.05,91476.16,1089,4.8,"Amazon","N/A",13,10868,711,"Large bulky",8.03,15.25,19,7.23,"N/A","N/A","11/30/2025",37,10,0,0.93
"https://amazon.com/dp/B0DSK296J8","https://m.media-amazon.com/images/I/61AS0KqD61L._SX450_.jpg","B0DSK296J8","Klein Tools 62482 Tool Backpack, Tool-Station Pro Heavy-Duty Organizer with 27 Pockets, Large Interior, Molded Bottom, Electrician Tool Bag","KLEIN TOOLS","Amazon","Tools & Home Improvement",17003,092644624827,"N/A",0092644624827,"N/A","Tool Bags",49,99.98,-34,546,207,,55532.81,20660.65,522,4.7,"Amazon","N/A",5,0,"N/A","Large bulky",10.8,15.5,21.7,9.1,"N/A","N/A","02/28/2026",14,13,3,1.05
"https://amazon.com/dp/B00DYQLXHG","https://m.media-amazon.com/images/I/71IzNdltRfL._SX450_.jpg","B00DYQLXHG","Veto Pro Pac Tech Pac Tool Backpack – Heavy-Duty Weatherproof Tool Bag with 46 Pockets, Waterproof Molded Base & Ergonomic Padded Straps & EVA Back Padding for Technicians and Contractors","Veto","FBM","Tools & Home Improvement",26228,851578000363,00851578000363,7241870521131,"N/A","Tool Bags",78,314.95,-16,635,298,14,219155.02,93931.7,2602,4.8,"CoastalTool","USA",7,7668,10,"Large bulky",9.84,16.38,20.71,10.45,"N/A","N/A","11/30/2024",151,4,8,0.24
"https://amazon.com/dp/B0DWS971Q8","https://m.media-amazon.com/images/I/81OqBEtXZ2L._SX450_.jpg","B0DWS971Q8","Rexmica Tool Bag Backpack for Men with 3 Tool Pouches, Heavy-Duty Tool Storage Organizer Bag with Padded Shoulder & Waist Support, Tactical Work Tool Bag for Electrician, Repairman, HVAC Techs, Khaki","Rexmica","FBA","Tools & Home Improvement",26833,"N/A","N/A","N/A","N/A","Tool Bags",82,54.99,1,458,144,-28,25174.38,7913.45,288,4.4,"Lujin Direct","China",1,5987,"N/A","Large Standard-Size",5.04,9.25,13.82,2.82,324.38,894.84,"11/30/2025",13,8,2,1.62
"https://amazon.com/dp/B0CYC5286V","https://m.media-amazon.com/images/I/41DfQMaE2bL._SX450_.jpg","B0CYC5286V","Rexmica Tool Bag Backpack for Men with 3 Tool Pouches, Heavy-Duty Tool Storage Organizer Bag with Padded Shoulder & Waist Support, Tactical Work Tool Bag for Electrician, Repairman, HVAC Techs, Black","Rexmica","FBA","Tools & Home Improvement",27710,"N/A","N/A","N/A","N/A","Tool Bags",84,54.99,19,486,335,-22,26732.07,18435.81,288,4.4,"Lujin Direct","China",1,6013,"N/A","Large Standard-Size",3.54,9.84,14.65,2.87,257.16,709.4,"11/30/2025",24,8,2,1.69
"https://amazon.com/dp/B0GKP7DS61","https://m.media-amazon.com/images/I/91sVqMO8aLL._SX450_.jpg","B0GKP7DS61","CLC Work Gear 55532 36-Pocket Tool Backpack – Heavy-Duty Ballistic Polyester Contractor Backpack with Laptop Compartment, Reinforced Glasses Case & Padded Straps","Custom Leathercraft","Amazon","Tools & Home Improvement",28998,084298555329,"N/A",0084298555329,"N/A","Tool Bags",87,119,"N/A",400,12,123,50261.43,1371.2,4678,4.5,"Amazon","N/A",1,4997,"N/A","Large bulky",8.98,13.7,18.82,5.85,"N/A","N/A","11/30/2025",2,9,3,0.09
