"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0C9JR3N4W","https://m.media-amazon.com/images/I/61r3hsmOb8L._SX450_.jpg","B0C9JR3N4W","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, IP67 Waterproof Inspection Borescope for iOS and Android-16.4ft Dual-Lens","Kinpthy","FBA","Industrial & Scientific",190,768502895158,"N/A",0768502895158,"N/A","Borescopes",1,35.99,-43,13647,4884,-31,422874.29,175764.97,5853,4.3,"XXXIX Endoscope","China",3,0,"N/A","Large Standard-Size",1.57,4.76,4.84,0.42,18.21,50.24,"11/30/2025",32,7,7,2.33
"https://amazon.com/dp/B0BF64PP4F","https://m.media-amazon.com/images/I/61d7f746GFL._SX450_.jpg","B0BF64PP4F","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, IP67 Waterproof Inspection Borescope for iOS and Android-32.8ft Single Lens","Kinpthy","FBA","Industrial & Scientific",243,635416049994,"N/A",0635416049994,"N/A","Borescopes",1,35.99,-24,13346,447,-34,415629.27,17065.74,5851,4.3,"XXXIX Endoscope","China",3,0,"N/A","Large Standard-Size",2.21,5.67,7.25,0.76,45.74,126.18,"11/30/2025",41,7,7,2.28
"https://amazon.com/dp/B0C4V5LWWL","https://m.media-amazon.com/images/I/41hhYCeUk2L._SX450_.jpg","B0C4V5LWWL","Endoscope Camera with Light, 1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS and Android - 16.4ft Single Lens","Kinpthy","FBA","Industrial & Scientific",243,673132973261,"N/A",0673132973261,"N/A","Borescopes",1,25.99,8,13647,2969,-31,422874.29,86416.1,5853,4.3,"XXXIX Endoscope","China",5,0,"N/A","Large Standard-Size",1.54,4.8,4.84,0.4,18.01,49.69,"11/30/2025",33,7,7,2.33
"https://amazon.com/dp/B0G23P5N7X","https://m.media-amazon.com/images/I/61qRAF7gBTL._SX450_.jpg","B0G23P5N7X","Endoscope Camera with Light, 1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS and Android - 16.3ft Dual Line Single Lens","Kinpthy","FBA","Industrial & Scientific",244,725878216925,"N/A",0725878216925,"N/A","Borescopes",1,15.99,31,13346,932,-34,415629.27,14942.84,5853,4.3,"ClairvoyancePro","China",1,0,"N/A","Large Standard-Size",1.5,4.81,4.89,0.4,17.76,49,"11/30/2025",3,7,7,2.28
"https://amazon.com/dp/B0G23FH94K","https://m.media-amazon.com/images/I/61OSPlnUv+L._SX450_.jpg","B0G23FH94K","Kinpthy Endoscope Camera with Light, 1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS - 16.3ft Single Line Single Lens","Kinpthy","FBA","Industrial & Scientific",244,725878216918,"N/A",0725878216918,"N/A","Borescopes",1,14.99,92,13647,1446,-31,422874.29,21474.9,5853,4.3,"ClairvoyancePro","China",1,0,"N/A","Large Standard-Size",1.46,4.72,4.8,0.42,16.65,45.94,"11/30/2025",3,7,7,2.33
"https://amazon.com/dp/B0CJY5C9QX","https://m.media-amazon.com/images/I/71nJMZLD3pL._SX450_.jpg","B0CJY5C9QX","Teslong Two-Way Articulating Borescope with Light, Industrial Endoscope Inspection Camera with Articulated Probe, Flexible Mechanic Fiber Optic Snake Scope Cam for Wall Automotive Engine Inspect-5FT","Teslong","FBA","Industrial & Scientific",592,"N/A","N/A","N/A","N/A","Borescopes",2,129.99,-6,6889,6889,-41,895511.78,895511.65,1347,4.7,"Teslong","China",1,59680,294,"Large Standard-Size",3.58,8.66,16.77,3.13,262.03,722.84,"11/30/2025",27,9,0,5.11
"https://amazon.com/dp/B0FZH2327S","https://m.media-amazon.com/images/I/71pooPRtVML._SX450_.jpg","B0FZH2327S","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 32.8FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Single Lens (Red) 7t15","PAPIBLU","FBA","Industrial & Scientific",816,"N/A","N/A","N/A","N/A","Borescopes",3,33.99,"N/A",1622,26,,34943.47,877.22,383,4.4,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",2.01,4.96,5.08,0.73,25.47,70.26,"01/31/2026",3,7,14,4.24
"https://amazon.com/dp/B0FZH2C8YH","https://m.media-amazon.com/images/I/71mjsewnfmL._SX450_.jpg","B0FZH2C8YH","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 32.8FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Dual Lens (Red)","PAPIBLU","FBA","Industrial & Scientific",816,"N/A","N/A","N/A","N/A","Borescopes",3,33.99,"N/A",1622,26,,34943.47,877.22,383,4.4,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",1.97,5,5.04,0.73,24.97,68.89,"01/31/2026",3,7,14,4.24
"https://amazon.com/dp/B0FZGV4YHJ","https://m.media-amazon.com/images/I/71HSgqwSoxL._SX450_.jpg","B0FZGV4YHJ","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 32.8FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Single Lens (Black)","PAPIBLU","FBA","Industrial & Scientific",816,"N/A","N/A","N/A","N/A","Borescopes",3,25.99,"N/A",1622,43,,34943.47,1127.81,383,4.4,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",2.05,4.96,5.12,0.75,26.21,72.31,"01/31/2026",3,7,14,4.24
"https://amazon.com/dp/B0FZH16S2N","https://m.media-amazon.com/images/I/719X3QIt2-L._SX450_.jpg","B0FZH16S2N","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 32.8FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Single Lens (Yellow)","PAPIBLU","FBA","Industrial & Scientific",816,"N/A","N/A","N/A","N/A","Borescopes",3,33.99,"N/A",1622,92,,34943.47,3131.36,363,4.4,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",5.1,5,1.5,0.45,19.26,53.13,"01/31/2026",3,7,14,4.47
