"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0FH2RBHHT","https://m.media-amazon.com/images/I/5120lH0wTXL._SX450_.jpg","B0FH2RBHHT","Vividia CX-0 Series Flexible Non-Articulating USB Inspection Camera Borescope Videoscope with 0.95mm (0.037"") to 2.8mm (0.11"") Diameter for Windows PC MacOS Android (2.0mm Diameter 1.1m Long Probe)","VIVIDIA","FBM","Industrial & Scientific",1284436,"N/A","N/A","N/A","N/A","Borescopes",1739,2990,28,1,1,300,3913.11,1553.94,"N/A","N/A","Oasis Scientific Inc.","USA",1,0,"N/A","Large Standard-Size",13,5,13,4,"N/A","N/A","09/30/2025",42,9,5,"N/A"
"https://amazon.com/dp/B0D8XL8KTQ","https://m.media-amazon.com/images/I/51e-dAw8QnL._SX450_.jpg","B0D8XL8KTQ","Vividia CX-0-09510 Flexible Non-Articulating 400x400 USB Inspection Camera Borescope Videoscope with 0.95mm (0.037) Diameter 1m Long for Windows PC MacOS Android","VIVIDIA","FBM","Industrial & Scientific",1286111,"N/A","N/A","N/A","N/A","Borescopes",1738,5999.98,-15,1,0,300,3913.11,"-","N/A","N/A","Oasis Scientific Inc.","USA",1,0,"N/A","Large Standard-Size",13,5,13,4,"N/A","N/A","09/30/2025",42,9,5,"N/A"
"https://amazon.com/dp/B0FH2QM7GM","https://m.media-amazon.com/images/I/61nTBio2aiL._SX450_.jpg","B0FH2QM7GM","Vividia CX-0 Series Flexible Non-Articulating USB Inspection Camera Borescope Videoscope with 0.95mm (0.037"") to 2.8mm (0.11"") Diameter for Windows PC MacOS Android (2.8mm Diameter 1.2m Long Probe)","VIVIDIA","FBM","Industrial & Scientific",1286128,"N/A","N/A","N/A","N/A","Borescopes",1738,2999.98,91,1,0,300,3913.11,"-","N/A","N/A","Oasis Scientific Inc.","USA",1,0,"N/A","Large Standard-Size",13,5,13,4,"N/A","N/A","09/30/2025",42,9,5,"N/A"
"https://amazon.com/dp/B00QXO5PFC","https://m.media-amazon.com/images/I/61RfIrU38bL._SX450_.jpg","B00QXO5PFC","General Tools DCS16HPART Recording Video Borescope System","General Tools","FBA","Industrial & Scientific",1286603,681035016268,00681035016268,0681035016268,"N/A","Borescopes",1737,2574.51,"N/A",0,0,,"-","-",1,1,"ValueValet","Canada",1,1,"N/A","Large bulky",21.63,12.5,4,9.5,350.49,876.22,"07/31/2024",135,1,0,0
"https://amazon.com/dp/B0C36BH761","https://m.media-amazon.com/images/I/61o2M9K4raS._SX450_.jpg","B0C36BH761","20M Endoscope, 20 Meter 5.5mm USB Endoscope Industrial Inspection Camera, 6 Adjustable LED for Pipe Car Inspection, Leads And Probes, Borescopes","Fafeicy","FBM","Industrial & Scientific",1289390,"N/A","N/A","N/A","N/A","Borescopes",1741,54.28,-10,0,0,200,"-","-","N/A","N/A","Mingsinc","China",1,4,100,"Large Standard-Size",2.72,6.02,6.06,1.26,"N/A","N/A","12/31/2025",34,9,0,"N/A"
"https://amazon.com/dp/B0CCTFJBWW","https://m.media-amazon.com/images/I/71MUopI7MVL._SX450_.jpg","B0CCTFJBWW","Sewer Camera with HD 1200TVL Camera, 9"" LCD Monitor, 200FT Cable Pipe Inspection Camera Drain Sewer Industrial Endoscope Waterproof IP68 Snake Video System Pipe Inspection Camera","AKaSping","FBM","Industrial & Scientific",1289799,"N/A","N/A","N/A","N/A","Borescopes",1742,499.99,-4,0,0,-138,"-","-",1,1,"LuuChain","China",1,8,-50,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/31/2024",31,9,1,0
"https://amazon.com/dp/B0DQLNHPYW","https://m.media-amazon.com/images/I/71MD9+SyReL._SX450_.jpg","B0DQLNHPYW","MeetChanning Pro-Grade 1920P HD Endoscope Camera with Lights for Phone and Tablet,Borescope Waterproof Inspection Camera 16.4FT Semi-Rigid for Pipe Inspection & Industrial Use","MeetChanning","FBM","Industrial & Scientific",1297109,"N/A","N/A","N/A","N/A","Borescopes",1741,21.99,-19,0,0,,"-","-","N/A","N/A","MeetChanning","China",1,0,"N/A","Large Standard-Size",8,6,4,1,"N/A","N/A","07/31/2025",15,6,0,"N/A"
"https://amazon.com/dp/B0DBRGSRVJ","https://m.media-amazon.com/images/I/6157BdWpdnL._SX450_.jpg","B0DBRGSRVJ","Industrial Endoscope Camera HD USB Inspection Camera 5.5mm Lens IP67 70° Viewing Angle 1/9"" CMOS Sensor Cable Snake for Equipment Maintenance(1M)","LiebeWH","FBM","Industrial & Scientific",1305666,"N/A","N/A","N/A","N/A","Borescopes",1746,11.18,-15,1,1,25,15.16,15.11,"N/A","N/A","Danyanty","China",1,12,"N/A","Large Standard-Size",4.72,4.72,1.57,0.16,"N/A","N/A","08/31/2025",16,9,6,"N/A"
"https://amazon.com/dp/B08X1HQSNG","https://m.media-amazon.com/images/I/61QpPhOIcSL._SX450_.jpg","B08X1HQSNG","50 Pcs Disposable Camera Sheath Cover Sleeves Endoscope Protect Sheath A04-6A","NSKI","FBM","Industrial & Scientific",1306597,792057393883,"N/A",0792057393883,"N/A","Borescopes",1750,9.4,-17,0,0,-138,"-","-",1,5,"SoHome","China",1,5,"N/A","Large Standard-Size",1.3,2.09,9.41,0.18,"N/A","N/A","11/30/2025",59,9,0,0
"https://amazon.com/dp/B01171MZNA","https://m.media-amazon.com/images/I/41PqVbSYnIL._SX450_.jpg","B01171MZNA","NTS200 Digital Endoscope 7.6mm Waterproof Inspection Camera 1M Probe Cable 4.3 Inch LCD-GOLDEN BLUE","GOLDEN BLUE","FBM","Industrial & Scientific",1310333,762470616432,"N/A",0762470616432,"N/A","Borescopes",1750,168.99,-35,0,0,,"-","-",0,"N/A","totobay_supper","China",1,3,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","08/31/2025",128,7,0,"N/A"
"https://amazon.com/dp/B097Z1QY5S","https://m.media-amazon.com/images/I/71nqe7S+AVS._SX450_.jpg","B097Z1QY5S","Vividia VS-82330plus Self-Leveling 512Hz Sonde All-in-One 1280x720 HD Pipe Sewer Drain Inspection Camera 10.1"" Monitor 30m L Cable and 23mm Diameter Camera","VIVIDIA","FBM","Industrial & Scientific",1313763,"N/A","N/A","N/A","N/A","Borescopes",1752,2499,-12,1,0,300,2778.67,"-",2,4.5,"Oasis Scientific Inc.","USA",1,7,-42,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2025",56,9,3,0.59
"https://amazon.com/dp/B097YYY2DY","https://m.media-amazon.com/images/I/71nqe7S+AVS._SX450_.jpg","B097YYY2DY","Vividia VS-82330 All-in-One HD Pipe Sewer Drain Inspection Camera 10.1"" Monitor 30m L Cable 23mm Camera 512Hz Sonde 12 LED Lights","VIVIDIA","FBM","Industrial & Scientific",1313774,"N/A","N/A","N/A","N/A","Borescopes",1752,2399,-6,1,0,300,2778.67,"-",2,4.5,"Oasis Scientific Inc.","USA",1,7,-42,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2025",56,9,3,0.59
