"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0G23FH94K","https://m.media-amazon.com/images/I/61OSPlnUv+L._SX450_.jpg","B0G23FH94K","Kinpthy Endoscope Camera with Light, 1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS - 16.3ft Single Line Single Lens","Kinpthy","FBA","Industrial & Scientific",330,725878216918,"N/A",0725878216918,"N/A","Borescopes",1,15.99,18,10942,254,,343083.58,4261.78,5984,4.3,"ClairvoyancePro","China",1,0,"N/A","Large Standard-Size",1.46,4.72,4.8,0.42,16.65,45.94,"02/28/2026",5,7,5,1.83
"https://amazon.com/dp/B0C4V5LWWL","https://m.media-amazon.com/images/I/61oRhqttqJL._SX450_.jpg","B0C4V5LWWL","Endoscope Camera with Light, 1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, Inspection Borescope for iOS and Android - 16.4ft Single Lens","Kinpthy","FBA","Industrial & Scientific",358,673132973261,"N/A",0673132973261,"N/A","Borescopes",1,25.99,72,11788,5126,,358256.45,134601.03,6016,4.3,"Kinoscope","China",3,0,"N/A","Large Standard-Size",1.61,4.8,5.16,0.42,20.08,55.38,"02/28/2026",35,7,5,1.96
"https://amazon.com/dp/B0BF64PP4F","https://m.media-amazon.com/images/I/61d7f746GFL._SX450_.jpg","B0BF64PP4F","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, IP67 Waterproof Inspection Borescope for iOS and Android-32.8ft Single Lens","Kinpthy","FBA","Industrial & Scientific",367,635416049994,"N/A",0635416049994,"N/A","Borescopes",1,35.99,55,10220,601,,322442.11,21431.07,6016,4.3,"XXXIX Endoscope","China",3,0,"N/A","Large Standard-Size",2.24,5.39,5.63,0.77,34.22,94.41,"02/28/2026",43,7,5,1.7
"https://amazon.com/dp/B0C9JR3N4W","https://m.media-amazon.com/images/I/61r3hsmOb8L._SX450_.jpg","B0C9JR3N4W","Endoscope Camera with Light,1920P HD Borescope Tools with 8 Adjustable LED Lights, Endoscope with Semi-Rigid Snake Camera, IP67 Waterproof Inspection Borescope for iOS and Android-16.4ft Dual-Lens","Kinpthy","FBA","Industrial & Scientific",392,768502895158,"N/A",0768502895158,"N/A","Borescopes",1,35.99,-40,10942,5800,,343083.58,206884.29,6029,4.3,"Kinoscope","China",4,0,"N/A","Large Standard-Size",1.46,4.84,4.88,0.42,17.36,47.89,"02/28/2026",33,7,5,1.81
"https://amazon.com/dp/B0CJY5C9QX","https://m.media-amazon.com/images/I/41Oteo3SE0L._SX450_.jpg","B0CJY5C9QX","Teslong Two-Way Articulating Borescope with Light, Industrial Endoscope Inspection Camera with Articulated Probe, Flexible Mechanic Fiber Optic Snake Scope Cam for Wall Automotive Engine Inspect-5FT","Teslong","FBA","Industrial & Scientific",650,"N/A","N/A","N/A","N/A","Borescopes",2,103.98,-30,8093,8093,11,1039447.67,1039447.5,1542,4.6,"Teslong","China",2,70269,286,"Large Standard-Size",3.5,8.74,16.61,3.15,255.81,705.69,"11/30/2025",29,9,0,5.25
"https://amazon.com/dp/B0FC2HS5GZ","https://m.media-amazon.com/images/I/716L3SQWC8L._SX450_.jpg","B0FC2HS5GZ","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 16.4FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Dual Lens (Black)","PAPIBLU","FBA","Industrial & Scientific",816,"N/A","N/A","N/A","N/A","Borescopes",2,18.89,-78,1149,1193,,26966.16,23733.85,639,4.3,"PAPIBLU Store","China",2,0,"N/A","Large Standard-Size",1.38,5,5.16,0.44,17.93,49.45,"03/31/2026",9,7,13,1.8
"https://amazon.com/dp/B0FZGV4YHJ","https://m.media-amazon.com/images/I/71A30V7gk4L._SX450_.jpg","B0FZGV4YHJ","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 32.8FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Single Lens (Black)","PAPIBLU","FBA","Industrial & Scientific",961,"N/A","N/A","N/A","N/A","Borescopes",3,24.99,5600,859,8,,20477.75,199.16,639,4.3,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",2.05,4.96,5.12,0.75,26.21,72.31,"03/31/2026",5,7,13,1.51
"https://amazon.com/dp/B0FC2K8FN2","https://m.media-amazon.com/images/I/71A30V7gk4L._SX450_.jpg","B0FC2K8FN2","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 16.4FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Single Lens (Black)","PAPIBLU","FBA","Industrial & Scientific",969,"N/A","N/A","N/A","N/A","Borescopes",3,22.99,-16,859,94,,20477.75,2173.54,639,4.3,"PAPIBLU Store","China",2,0,"N/A","Large Standard-Size",1.54,4.96,5.08,0.4,19.54,53.89,"03/31/2026",10,7,13,30.66
"https://amazon.com/dp/B0FY1QX78V","https://m.media-amazon.com/images/I/71A30V7gk4L._SX450_.jpg","B0FY1QX78V","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 9.8FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Single Lens (Black)","PAPIBLU","FBA","Industrial & Scientific",1078,"N/A","N/A","N/A","N/A","Borescopes",4,19.98,-63,859,197,,20477.75,4730.33,616,4.2,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",1.34,5,5.04,0.33,16.98,46.84,"03/31/2026",5,7,13,1.39
"https://amazon.com/dp/B0FZH2C8YH","https://m.media-amazon.com/images/I/71mjsewnfmL._SX450_.jpg","B0FZH2C8YH","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 32.8FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Dual Lens (Red)","PAPIBLU","FBA","Industrial & Scientific",1084,"N/A","N/A","N/A","N/A","Borescopes",4,33.99,-54,859,78,,20477.75,2654.88,639,4.3,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",1.97,5,5.04,0.73,24.97,68.89,"03/31/2026",5,7,13,1.51
"https://amazon.com/dp/B0FZGZ5X3Z","https://m.media-amazon.com/images/I/71mjsewnfmL._SX450_.jpg","B0FZGZ5X3Z","Endoscope with Light, 1920P HD Borescope with 8 Adjustable LED Lights, 16.4FT Semi-Rigid Snake Camera, IP67 Waterproof Inspection Tool for iPhone & Android - Dual Lens (Red) 7t9","PAPIBLU","FBA","Industrial & Scientific",1084,"N/A","N/A","N/A","N/A","Borescopes",4,23.99,"N/A",859,0,,20477.75,"-",639,4.3,"PAPIBLU Store","China",1,0,"N/A","Large Standard-Size",1.34,5,5.08,0.42,17.11,47.21,"03/31/2026",5,7,13,1.51
