"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B00R9X7MZM","https://m.media-amazon.com/images/I/61MGvkRet-L._SX450_.jpg","B00R9X7MZM","Blue Sea Systems M2 AC Multimeter 1838","Blue Sea Systems","FBM","Automotive",1658937,"N/A","N/A","N/A","N/A","Multimeters & Analyzers",158,340.48,-10,0,0,,"-","-",1,1,"Homestead Supply & More ✅","USA",4,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","07/31/2025",129,1,0,0
"https://amazon.com/dp/B0FDH6G2LN","https://m.media-amazon.com/images/I/71WwE6DeLGL._SX450_.jpg","B0FDH6G2LN","Eujgoov 3 in 1 Digital Multimeter + Oscilloscope + Signal Generator, DM40C 10Hz-60MHz 4.5 Bit Screen for USB Communication Safety Testing","Eujgoov","FBA","Automotive",1679576,"N/A","N/A","N/A","N/A","Multimeters & Analyzers",159,254.11,4,0,0,,"-","-","N/A","N/A","hafanpp","China",2,0,"N/A","Large Standard-Size",8.27,4.72,3.15,1.39,61.94,170.87,"11/30/2025",9,9,0,"N/A"
"https://amazon.com/dp/B0BJKB9H6R","https://m.media-amazon.com/images/I/612xhEW0e0L._SX450_.jpg","B0BJKB9H6R","2PCS USB Tester Type-C Voltmeter Voltage Current Tester 4-30V 5V 12V 24V 0-6.5A 120W Power Meter Multimeter Ammeter Type C USB Charger Tester Color Display Capacity Fast Charge Converter(Black)","AITIAO","FBA","Automotive",1683358,701715566460,"N/A",0701715566460,"N/A","Multimeters & Analyzers",163,15.99,"N/A",0,0,-90,"-","-",25,4.3,"Aitiao US","China",1,65,-56,"Small Standard-Size",0.75,3.78,5.67,0.09,8.09,22.33,"11/30/2024",41,8,3,0
"https://amazon.com/dp/B000OBW710","https://m.media-amazon.com/images/I/61ll34HTCzL._SX450_.jpg","B000OBW710","OTC 3492 Heavy-Duty Digital Pressure/Temperature Analyzer","OTC","Amazon","Automotive",1687831,731413025846,00731413025846,0731413025846,"N/A","Multimeters & Analyzers",165,1332.99,-38,3,3,-79,3372.16,3372.01,13,4.8,"Amazon","N/A",10,28,"N/A","Large bulky",8.62,9.76,16.89,6.04,"N/A","N/A","12/31/2025",200,1,0,0.19
"https://amazon.com/dp/B0F3D14LW4","https://m.media-amazon.com/images/I/61A4pgzzwhL._SX450_.jpg","B0F3D14LW4","UT136B+ Digital Multimeter Large LCD Dual Display 1000V 10A AC DC Voltmeter Current Test Meter(UT136B Plus)","SEEIRIR","-","Automotive",1698611,"N/A","N/A",6440111088148,"N/A","Multimeters & Analyzers",163,77.1,"N/A",0,0,,"-","-","N/A","N/A",,"N/A",4,0,"N/A","Small Standard-Size",1.18,0.79,0.39,0.66,"N/A","N/A","-",12,"N/A",2,"N/A"
"https://amazon.com/dp/B0DP3CSBD6","https://m.media-amazon.com/images/I/71vd--JZ1HL._SX450_.jpg","B0DP3CSBD6","Et828pro 2 in 1 Digital Oscilloscope Multimeter 50msp Maximum Sampling Speed 10mhz Analog Bandwidth, 6000 Code Digital Multimeter 2.4 Inch Color","Haofy","FBA","Automotive",1735392,"N/A","N/A","N/A","N/A","Multimeters & Analyzers",168,81.99,"N/A",2,2,,134.41,134.34,"N/A","N/A","Qmee-EU","China",2,0,"N/A","Large Standard-Size",7.87,5.51,1.97,0.78,43.01,118.66,"02/28/2026",16,9,0,"N/A"
"https://amazon.com/dp/B09N7B91MG","https://m.media-amazon.com/images/I/61chrbDJnPL._SX450_.jpg","B09N7B91MG","PZEM-051 DC 6.5-100V 20A 50A 100A Digital Electric Power Energy Multimeter Ammeter Voltmeter (50A and Shunt)","Reland Sun","FBM","Automotive",1769855,708310804102,"N/A",0708310804102,"N/A","Multimeters & Analyzers",169,22,"N/A",2,0,,39.64,"-","N/A","N/A","Reland","China",1,4,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","06/30/2024",52,6,5,"N/A"
"https://amazon.com/dp/B01M0RPUBK","https://m.media-amazon.com/images/I/61FOuLPj9BL._SX450_.jpg","B01M0RPUBK","Analog Multimeter, 1000V, 10A, 20M Ohms","Simpson","FBM","Automotive",1794459,694979296634,"N/A",0694979296634,"N/A","Multimeters & Analyzers",170,596,-42,3,3,,1598.52,1598.46,9,4.1,"Online Components - com","USA",10,11,57,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2026",114,1,0,0.31
"https://amazon.com/dp/B09N79S8ZP","https://m.media-amazon.com/images/I/61chrbDJnPL._SX450_.jpg","B09N79S8ZP","PZEM-051 DC 6.5-100V 20A 50A 100A Digital Electric Power Energy Multimeter Ammeter Voltmeter (100A and Shunt)","Reland Sun","FBM","Automotive",1799697,708310804089,"N/A",0708310804089,"N/A","Multimeters & Analyzers",170,18,"N/A",2,1,,39.64,10.12,"N/A","N/A","Reland","China",1,4,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","06/30/2024",52,6,5,"N/A"
"https://amazon.com/dp/B09N7938SM","https://m.media-amazon.com/images/I/41iEF0hG7gL._SX450_.jpg","B09N7938SM","PZEM-051 DC 6.5-100V 20A 50A 100A Digital Electric Power Energy Multimeter Ammeter Voltmeter (50A)","Reland Sun","FBM","Automotive",1829954,708310804119,"N/A",0708310804119,"N/A","Multimeters & Analyzers",174,20,"N/A",3,1,,42.32,11.89,"N/A","N/A","Reland","China",1,5,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","06/30/2024",52,5,5,"N/A"
