"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0G3GPYBZP","https://m.media-amazon.com/images/I/61ko-3w0gJL._SX450_.jpg","B0G3GPYBZP","5-in-1 Jump Starter with Air Duster, Portable Vacuum, 2000A Car Battery Booster, Air Inflator/Deflator, 8000mAh Power Bank - 130000RPM Blower Fan Multi-Function Emergency Tool for Car & Outdoor Use","Pursuit","FBM","Automotive",1273712,698746022501,"N/A",0698746022501,"N/A","Batteries & Accessories",10922,159.99,-21,5,5,44,763.61,763.51,8,5,"Woot","USA",2,0,"N/A","Large Standard-Size",8.86,5.35,3.94,2.12,"N/A","N/A","02/28/2026",4,9,0,0.65
"https://amazon.com/dp/B07W683DC9","https://m.media-amazon.com/images/I/61PjNdMgaOL._SX450_.jpg","B07W683DC9","Mpkke AC Adapter for Peak Amps 400 600 750 800 900 Power Station Car Jump Starter Cord","MPKKE","FBM","Automotive",1274680,"N/A","N/A",5311601411528,"N/A","Batteries & Accessories",10784,9.99,-26,3,3,,34.47,34.34,17,4.4,"Zxcjzuang","China",3,87,-39,"Large Standard-Size",1.5,3,4,0.25,"N/A","N/A","02/28/2025",80,3,0,0.2
"https://amazon.com/dp/B0C3CF35JZ","https://m.media-amazon.com/images/I/61NLl4-pSKL._SX450_.jpg","B0C3CF35JZ","LOKITHOR ApartX Multi-Functional Vehicle Emergency Device, Car Jump Starter for 7.0 to 10.0 L Gasoline and 4.0 to 8.0 L Diesel Engines, Battery Booster with 150 PSI Tire Inflator(Battery not included)","LOKITHOR","FBA","Automotive",1280349,889551118316,"N/A",0889551118316,"N/A","Batteries & Accessories",10828,151.75,-32,5,5,-86,802.13,802.06,28,4.6,"LOKITHOR STORE","China",1,47,-88,"Large Standard-Size",6.69,7.2,11.46,6.26,277.92,766.67,"10/31/2024",32,7,4,0.19
"https://amazon.com/dp/B08MDVN2NB","https://m.media-amazon.com/images/I/41vt6Bu18eL._SX450_.jpg","B08MDVN2NB","AC Adapter for CEN TECH Item 60703 5 in 1 Portable Power Pack Car Auto Battery Jump Starter Jump Start DC Power Supply Charger Cord Cable, 5 Feet, with LED Indicator, Compatible Replacement","GUY-TECH","FBM","Automotive",1284069,757926751959,"N/A",0757926751959,"N/A","Batteries & Accessories",10971,11.99,-1,3,3,-70,31.29,31.21,4,4.4,"Feumotu","N/A",3,21,40,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/31/2025",80,2,0,0.65
"https://amazon.com/dp/B0FMK285V8","https://m.media-amazon.com/images/I/71qGo+2KV+L._SX450_.jpg","B0FMK285V8","Jump Starter with Air Compressor 2000A, 10000mAh&150PSI Car Battery Jumper Starter Portable, 12V Battery Pack Jump Box (9L Gas/7L Diesel Engine) with Boost, Light and Jumper Cables(Orange)","GrowCube","FBA","Automotive",1288791,"N/A","N/A","N/A","N/A","Batteries & Accessories",10893,49.99,-18,5,5,-112,232.25,232.12,42,4.4,"GrowCube","China",1,0,"N/A","Large Standard-Size",4.29,5.31,9.02,2.93,103.53,285.6,"11/30/2025",6,8,0,0.11
"https://amazon.com/dp/B00TD1053E","https://m.media-amazon.com/images/I/51vJSqkXyvL._SX450_.jpg","B00TD1053E","UpBright 14.5V Car DC Adapter Compatible with Dewalt DXAEPS14 1400 Peak Amp 1400Amp DXAEPS14CA 12V Portable Power Station Jump Starter Air Compressor DXAEP514 15V Auto Supply Cord Battery Charger PSU","UPBRIGHT","FBM","Automotive",1292838,664230348211,"N/A",0664230348211,"N/A","Jump Starters",1376,6.99,-22,4,4,83,27.67,27.54,34,4.5,"PowerHOOD","USA",1,20,-91,"Large Standard-Size",1.1,3.66,4.49,0.09,"N/A","N/A","10/31/2024",133,4,0,0.12
"https://amazon.com/dp/B09TRT28X5","https://m.media-amazon.com/images/I/516FFzBMcEL._SX450_.jpg","B09TRT28X5","AC in Charging Cord Charger Cable Compatible with CenTech 4-in-1 Jump Starter Air Compressor Item# 62453 62374 56631 Portable Power Pack 348985 Jump Start Cen-Tech 12V 17Ah Lead-Acid Battery","saschedross","FBM","Automotive",1297078,"N/A","N/A",6087932152179,"N/A","Batteries & Accessories",10953,10.35,-37,1,1,-62,15.66,15.58,11,4.3,"TATMALL","China",1,62,-24,"Large Standard-Size",1,3,7,0.4,"N/A","N/A","02/28/2025",49,2,0,0.13
"https://amazon.com/dp/B0D6W36F9F","https://m.media-amazon.com/images/I/61gJB32a+4L._SX450_.jpg","B0D6W36F9F","14V AC Adapter Compatible with Halo Bolt 57720, Bolt 58830, Power Cord for Bolt ACDC Wireless Car Jump Starter, 6.5ft","vhbw","FBA","Automotive",1297206,"N/A","N/A","N/A","N/A","Batteries & Accessories",11071,12.99,-24,4,4,-50,55.35,55.23,6,4.8,"SurperAdapter","China",1,123,"N/A","Large Standard-Size",1.81,2.72,3.82,0.24,9.47,26.12,"10/31/2025",21,7,0,0.71
"https://amazon.com/dp/B09D45PFGS","https://m.media-amazon.com/images/I/41JwB4l3bqL._SX450_.jpg","B09D45PFGS","Raion Power 12V 22Ah Replacement AGM Battery for Clore Automotive JNC660 Jump N Carry Jump Starter - 1 Pack","Raion Power","FBM","Automotive",1298882,"N/A","N/A","N/A","N/A","Batteries & Accessories",11082,67.99,-40,2,2,33,161.23,161.19,10,3.2,"Raion Group","USA",1,22,-79,"Large Standard-Size",9,7,6,13.68,"N/A","N/A","05/31/2024",55,4,0,0.24
"https://amazon.com/dp/B09BC1XH86","https://m.media-amazon.com/images/I/71QHj7sF4IL._SX450_.jpg","B09BC1XH86","Kircuit 15V AC/DC Adapter Compatible with YABER 2000A Peak 22000mAH 100W Portable Power Station Multi-fuction Car Jump Starter Winplus Lithium Power Bank JumPack 15VDC 1A DC15V Supply Battery Charger","Kircuit","FBM","Automotive",1300767,"N/A","N/A","N/A","N/A","Batteries & Accessories",11093,19.28,-19,0,0,500,"-","-",1,5,"EPtech","USA",1,10,-17,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2025",56,4,0,0
