"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B071G69BPB","https://m.media-amazon.com/images/I/41tNwSWgXaL._SX450_.jpg","B071G69BPB","OEMTOOLS 24948 Cushioned Creeper Seat (with Tool Tray) | Comfortable Rolling Mechanic’s Seat with Ample Tool Storage – 11-1/2” x 12-1/2 Tool Tray | Rated for Up to 330 Lbs. | Green","OEMTOOLS","FBM","Automotive",1914362,076812249487,00076812249487,0076812249487,"N/A","Creepers",421,73.48,43,2,2,-17,147.78,147.71,177,4.3,"Mobile Distributor Supply","USA",1,10,-63,"Large bulky",5.51,14.49,15.51,9.75,"N/A","N/A","05/31/2024",108,5,0,0.01
"https://amazon.com/dp/B0G48FYTHM","https://m.media-amazon.com/images/I/61mSRlTf3VL._SX450_.jpg","B0G48FYTHM","Heavy-Duty Topside Automotive Engine Creeper, Grade Top Automotive Creeper with Height Adjustment 45-65 Inches, 400 LB Capacity, Locking Swivel Casters & Ergonomic Padded Deck for Vehicle Maintenance","ExploreHorizon","Amazon","Automotive",1926330,199914037988,"N/A",0199914037988,"N/A","Creepers",422,169.99,13,1,0,-89,188.34,"-",2,3.5,"Amazon","N/A",1,0,"N/A","Extra-large 70+ to 150 lb",49.21,24.8,11.1,78.71,"N/A","N/A","01/31/2026",6,7,2,0.57
"https://amazon.com/dp/B0G48D4F18","https://m.media-amazon.com/images/I/61E+umN9lwL._SX450_.jpg","B0G48D4F18","Heavy-Duty Topside Automotive Engine Creeper, Grade Top Automotive Creeper with Height Adjustment 45-65 Inches, 400 LB Capacity, Locking Swivel Casters & Ergonomic Padded Deck for Vehicle Maintenance","ExploreHorizon","Amazon","Automotive",1926789,199914037995,"N/A",0199914037995,"N/A","Creepers",422,149.99,89,1,1,-89,188.34,127.17,2,3.5,"Amazon","N/A",1,0,"N/A","Extra-large 70+ to 150 lb",58.27,24.02,8.46,69.45,"N/A","N/A","01/31/2026",6,7,2,0.57
"https://amazon.com/dp/B0DSM2XC3Q","https://m.media-amazon.com/images/I/61z1h0YchkL._SX450_.jpg","B0DSM2XC3Q","Performance Tool W85034 36-Inch Z-Frame Folding Automotive Creeper, All-in-One Adjustable Roller Garage Seat, Lay Down or Sit, 300 lbs. Capacity, Under Car Creeper, Padded with 6 Swivel Casters","Performance Tool","FBA","Automotive",1959601,039564143373,00039564143373,0039564143373,"N/A","Creepers",429,47.99,-1,0,0,-109,"-","-","N/A","N/A","OxBow","USA",12,29,"N/A","Large bulky",3.6,16.8,21.4,13.35,419.44,1048.6,"11/30/2025",16,9,0,"N/A"
"https://amazon.com/dp/B0DRJYSXZ1","https://m.media-amazon.com/images/I/61I5-hKnNyL._SX450_.jpg","B0DRJYSXZ1","Cloudcool 60''X28'' Car Creeper Rolling Mat with Repair Gloves, Easy to Clean Creeper Mat with Bag for Working Under Car, Foldable Mechanic Mat for Ground Automotive Repairing","Cloudcool","FBM","Automotive",1975291,"N/A","N/A",8005456461711,"N/A","Creepers",432,37.89,-16,1,1,,46.76,46.7,4,5,"SHANXIKEYIPAI","China",1,24,"N/A","Large Standard-Size",16.93,11.81,3.94,2.2,"N/A","N/A","12/31/2024",17,7,0,0.31
"https://amazon.com/dp/B000FMO1GW","https://m.media-amazon.com/images/I/81sxRKF4OqL._SX450_.jpg","B000FMO1GW","Sunex 8507 Creeper Seat","Sunex Tools","FBM","Automotive",1983545,613364585078,00613364585078,0613364585078,"N/A","Creepers",434,65.73,21,0,0,,"-","-",112,4.2,"American-Mechanic","USA",17,0,"N/A","Large bulky",14.6,14.3,4.1,9.4,"N/A","N/A","03/31/2026",261,6,1,0
"https://amazon.com/dp/B00AZAEI9Y","https://m.media-amazon.com/images/I/31FGB87rh1L._SX450_.jpg","B00AZAEI9Y","Lisle LIS94102 Low Profile Plastic Creeper- Blue","Lisle","FBM","Automotive",1984096,830459410262,"N/A",0830459410262,"N/A","Creepers",437,109.65,-2,1,1,-33,132.88,132.85,4,5,"Homestead Supply & More ✅","USA",3,16,433,"Large bulky",38,18,3,10,"N/A","N/A","10/31/2025",121,1,0,0.31
"https://amazon.com/dp/B00EIIN228","https://m.media-amazon.com/images/I/21b3d-iTtrL._SX450_.jpg","B00EIIN228","Lisle - 2"" Replacement Rubber Wheel for Steel Creeper","Lisle","FBM","Automotive",1985332,088020715562,"N/A",0088020715562,"N/A","Creepers",435,15.58,-32,2,2,,24.53,24.46,5,4.5,"JBTools","USA",2,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","08/31/2025",148,1,0,0.31
"https://amazon.com/dp/B0FFMHCTTR","https://m.media-amazon.com/images/I/51gGZO3cS+L._SX450_.jpg","B0FFMHCTTR","Auto Dynasty 40 Inches Heavy Duty Mechanic Creeper","Auto Dynasty","FBM","Automotive",2005141,"N/A","N/A","N/A","N/A","Creepers",442,62.88,"N/A",1,0,-89,61.4,"-",3,4.3,"Auto Dynasty","USA",0,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11/30/2025",11,6,2,0.33
"https://amazon.com/dp/B0DJXS15KR","https://m.media-amazon.com/images/I/61GLuk1IL8L._SX450_.jpg","B0DJXS15KR","Rolling Knee Pads Flooring Knee Pads with Tool Tray Holder, Garage Rolling Knee Creeper Pads with five 360-Degree Swivel Castors for Home Workshop Auto Repairing, Built-in Tray/Handle, 10x20 Inch Red","SFIHOME","FBM","Automotive",2012317,727198279970,"N/A",0727198279970,"N/A","Creepers",439,32.99,-38,4,4,43,143.27,143.17,"N/A","N/A","SFIHOME","USA",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","04/30/2026",5,2,2,"N/A"
"https://amazon.com/dp/B0DQCX45JQ","https://m.media-amazon.com/images/I/51k78CCaLKL._SX450_.jpg","B0DQCX45JQ","Ynredee Rolling Creeper Seat,Mechanic Stool,Garage Shop Stool on Wheels with Padded Seat & Tool Tray Storage,330 LBS Capacity, Heavy Duty Mechanic Chair Car Detailing Creeper for Workshop,Home","Ynredee","FBM","Automotive",2015327,"N/A","N/A","N/A","N/A","Creepers",441,26.99,-12,0,0,,"-","-","N/A","N/A","WESTHL","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11/30/2025",17,9,0,"N/A"
"https://amazon.com/dp/B0D3ZXD344","https://m.media-amazon.com/images/I/61J-cYBq8tL._SX450_.jpg","B0D3ZXD344","OUZVI Automotive and Household Car Creeper Rolling Pad, Folding Moving Pad for Auto Repair and Maintenance for Working on The Ground","OUZVI","FBM","Automotive",2015561,"N/A","N/A",6425315470388,"N/A","Creepers",440,21.96,-20,2,2,,64.12,64.04,"N/A","N/A","weigengshangmao1","China",5,2,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/31/2024",23,7,0,"N/A"
"https://amazon.com/dp/B0DV4M8PLP","https://m.media-amazon.com/images/I/6156GCAUYSL._SX450_.jpg","B0DV4M8PLP","CAAP DRIVEN 40"" Low-Profile Plastic Rolling Mechanic's Floor Creeper with Built-in LED Light, Cushioned Headrest, Dual-Compartment Tool Trays, and Casters CAAP-TOLS-CRP-T2-40-RD","CAAP DRIVEN","FBM","Automotive",2016273,194286362898,"N/A",0194286362898,"N/A","Creepers",442,50.99,-25,0,0,-150,"-","-",3,4.4,"PM Performotor","USA",2,44,"N/A","Large bulky",41,20,3,15,"N/A","N/A","11/30/2025",14,6,0,0
"https://amazon.com/dp/B0DK98VZJJ","https://m.media-amazon.com/images/I/51dGrhBxIjL._SX450_.jpg","B0DK98VZJJ","Yosoo 300lbs Capacity Low Roller Seat Plastic Rolling Stool, 360 Degree Swivel Low Height Seat with Mute Wheel for Office, Garage, Shop (White)","Yosoo","FBM","Automotive",2021901,"N/A","N/A","N/A","N/A","Roller Seats",305,29.94,-22,3,1,500,93.34,24.22,2,3.5,"Strnek1","China",1,28,"N/A","Large Standard-Size",11.81,11.81,5.51,1.87,"N/A","N/A","03/31/2026",19,9,3,1.67
