"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0C8H5PXQK","https://m.media-amazon.com/images/I/51L8MeeIAmL._SX450_.jpg","B0C8H5PXQK","Night Vision L4G69 Helmet Mount, Tactical Airsoft NVG Mount for PVS15 PVS18 GPNVG18 Night Vision Goggles","Shanyingquan","FBA","Sports & Outdoors",643506,"N/A","N/A","N/A","N/A","Night Vision Binoculars & Goggles",398,21.99,1,3,2,200,72.97,53.14,14,3.4,"Huenco","China",2,38,-46,"Large Standard-Size",2.32,3.54,3.98,0.24,16.48,45.46,"09/30/2024",33,7,2,0.24
"https://amazon.com/dp/B0C8H5YH2H","https://m.media-amazon.com/images/I/51I2kWN3QFL._SX450_.jpg","B0C8H5YH2H","Night Vision L4G69 Helmet Mount, Tactical Airsoft NVG Mount for PVS15 PVS18 GPNVG18 Night Vision Goggles","Shanyingquan","FBA","Sports & Outdoors",643506,"N/A","N/A","N/A","N/A","Night Vision Binoculars & Goggles",398,22.99,4,3,1,200,72.97,19.61,14,3.4,"Huenco","China",2,38,-46,"Large Standard-Size",2.28,3.62,4.13,0.23,17.21,47.49,"09/30/2024",33,7,2,0.24
"https://amazon.com/dp/B0DMFBYZTN","https://m.media-amazon.com/images/I/518x2AqiwXL._SX450_.jpg","B0DMFBYZTN","Metal NVG Night Vision Goggles Helmet Mount and Shroud Combo, Fit for AN/PVS-15 • AN/PVS-18 • AN/PVS-31 (L3Harris BNVD & BNVD1531) • GPNVG-18 (Dovetail) • AN/PSQ-36 FGS (Dovetail), Black","HATSEN","FBM","Sports & Outdoors",644486,719899136492,"N/A",0719899136492,"N/A","Night Vision Binoculars & Goggles",402,99.99,-29,0,0,-150,"-","-","N/A","N/A","relaxed customization","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11/30/2025",16,6,0,"N/A"
"https://amazon.com/dp/B0C61J5G7H","https://m.media-amazon.com/images/I/51F+Zxhk-zL._SX450_.jpg","B0C61J5G7H","Night Vision Monocular for Hunting,1080P,Clip on Scope with IR 850nm&940nm,Infrared Hunting Scopes for Rifles,IR Illuminator with WiFi for Day Night Viewing","OWLNV","FBM","Sports & Outdoors",645852,"N/A","N/A","N/A","N/A","Night Vision Monoculars",138,235.98,-18,3,4,,738.84,839.37,11,4.2,"Owlnv","China",1,3,-88,"Large Standard-Size",3,5.6,6.8,1.55,"N/A","N/A","07/31/2024",33,13,0,0.29
"https://amazon.com/dp/B0D6K41TY7","https://m.media-amazon.com/images/I/81-1xH5QYxL._SX450_.jpg","B0D6K41TY7","Nightiger Night Vision Binoculars High Resolution 6x5 Excellent Color Optics Built-in 6000mAh Rechargeable Batteries FHD Night Vision Goggles with Camera Night Vision Monocular Telescope Binoculars","Nightiger","FBA","Sports & Outdoors",646126,"N/A","N/A","N/A","N/A","Night Vision Binoculars & Goggles",405,99.39,-32,0,0,-150,"-","-",35,4.4,"Nightiger-USA","China",1,0,"N/A","Large Standard-Size",3.43,5.67,8.98,1.9,87.93,242.56,"08/31/2025",21,6,0,0
"https://amazon.com/dp/B0D1XS3PKJ","https://m.media-amazon.com/images/I/71xb8vth28L._SX450_.jpg","B0D1XS3PKJ","CANIS SPORT INC New Version PVS-18 Pro Infrared 2.7X 32 Digital Night Vision PVS-18 Pro high-Performance Infrared Lightweight Design for Hunting, black","CANIS SPORT INC","FBA","Sports & Outdoors",647363,797999632625,"N/A",0797999632625,"N/A","Night Vision Binoculars & Goggles",402,200,10,4,4,,885.42,885.34,3,3.3,"KANGSHENG STORE","China",1,0,"N/A","Large Standard-Size",7.5,5.16,3.35,1.3,65.27,180.06,"10/31/2025",23,7,0,1.28
"https://amazon.com/dp/B0CPVK1SF3","https://m.media-amazon.com/images/I/61DApYNS2qL._SX450_.jpg","B0CPVK1SF3","FMA Airsoft Hunting Tactical GPNVG18 Dummy Model Night Vision Goggles No Function Four-Tube Binoculars & L4G19 NVG Helmet Mount Plastic Bracket Helmet Accessories for Tactical Hunting Cosplay (Brown)","Chestnut-YX","FBM","Sports & Outdoors",647394,"N/A","N/A",7758496599241,"N/A","Night Vision Binoculars & Goggles",403,79.9,-29,3,1,,247.29,77.42,"N/A","N/A","Chestnut-YX","China",1,5,-29,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2026",27,7,2,"N/A"
"https://amazon.com/dp/B09XWLVMVX","https://m.media-amazon.com/images/I/413jbxK35LL._SX450_.jpg","B09XWLVMVX","LEJUNJIE Tactical Helmet Mounting Bracket for Rhino NVG PVS-14/PVS-7 Night Vision Goggles Mount&Fast ACH PASGT MICH Helmets M88","LEJUNJIE","FBA","Sports & Outdoors",648160,730373423570,"N/A",0730373423570,"N/A","Night Vision Binoculars & Goggles",403,34.99,13,0,0,-136,"-","-",34,3.2,"Lejunjie","China",1,99,15,"Large Standard-Size",3.03,5.87,10.83,0.37,96.98,267.53,"06/30/2025",47,7,1,0
"https://amazon.com/dp/B0DL2TT9XN","https://m.media-amazon.com/images/I/51cPAsDao4L._SX450_.jpg","B0DL2TT9XN","Tactical Airsoft Hunting GPNVG18 Dummy Night Vision Goggles Model with Mount, No Function Night Vision Binoculars & Goggles for Tactical Helmet NVG Mount, Cosplay Prop (Black)","Keetopteep","FBA","Sports & Outdoors",649754,747086917562,"N/A",0747086917562,"N/A","Night Vision Binoculars & Goggles",404,52.99,-14,1,1,-123,54.07,54.02,2,3.5,"Keetopteep","China",1,95,"N/A","Large Standard-Size",3.78,5.75,8.94,1.21,97.83,269.88,"09/30/2025",17,7,1,0.52
"https://amazon.com/dp/B0DZX6V2JQ","https://m.media-amazon.com/images/I/71+hmqiMeDL._SX450_.jpg","B0DZX6V2JQ","Night Vision Goggles True 4K Rechargeable IR Night Vision Binoculars Day Night Use with Photo & Video Digital Zoom Infrared Full-Color Monocular Compact Binoculars High Powered for Adults","Crangcam","FBA","Sports & Outdoors",656605,"N/A","N/A","N/A","N/A","Night Vision Binoculars & Goggles",411,75.99,-42,2,2,600,182.1,181.97,12,4.4,"YIDOHOCK","China",1,0,"N/A","Large Standard-Size",3.5,5.75,9,1.5,91.19,251.56,"11/30/2025",12,6,2,0.2
"https://amazon.com/dp/B0CRSQRN5S","https://m.media-amazon.com/images/I/71h5qhVZ9lL._SX450_.jpg","B0CRSQRN5S","Sheawasy Night Vision Monocular, Digital Infrared Night Vision for 100% Darkness, 1080P FHD Video, 32GB Included, for Travel, Camping, Hunting, Surveillance","Sheawasy","FBA","Sports & Outdoors",658324,"N/A","N/A","N/A","N/A","Night Vision Monoculars",142,45.99,-49,0,0,-108,"-","-",21,3.9,"Sheawasy","China",1,43,-77,"Large Standard-Size",3.31,3.43,6.54,0.77,37.38,103.13,"10/31/2024",26,6,0,0
"https://amazon.com/dp/B0FN7Q6KKC","https://m.media-amazon.com/images/I/61n8pqJ+ZjL._SX450_.jpg","B0FN7Q6KKC","AI-Powered AR Eyewear 48MP Thermal Night Vision Goggles, Sonar Fishing Camera, Dual-Lens Endoscope, Smart Glasses for Hunting, Fishing, Technical Inspections & Repair(Desert Yellow Color)","Generic","FBM","Sports & Outdoors",658345,721776002646,"N/A",0721776002646,"N/A","Night Vision Binoculars & Goggles",407,2299,-22,7,7,,15054.53,15054.48,3,5,"shenzhenshijinmanxiukejiyouxiangongsi","China",1,0,"N/A","Large bulky",16,16,8,4.5,"N/A","N/A","02/28/2026",7,9,0,2.18
