"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0DNRY9NCV","https://m.media-amazon.com/images/I/814KH29kq0L._SX450_.jpg","B0DNRY9NCV","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor - Includes Smoke Fluid x2.","AutoLine Pro","FBA","Automotive",164,850032284943,"N/A",0850032284943,"N/A","Fuel Leak Detectors",1,52.99,-27,9850,3364,28,604676.17,178249.91,530,4.6,"AutoLine Pro","USA",2,63060,"N/A","Large Standard-Size",4.09,5.2,5.98,1.28,64.03,176.64,"01/31/2026",15,6,5,18.59
"https://amazon.com/dp/B0DNS4RB2Q","https://m.media-amazon.com/images/I/81PH03RKC5L._SX450_.jpg","B0DNS4RB2Q","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor – Includes Cone for Vacuum and Exhaust Leaks.","AutoLine Pro","FBA","Automotive",164,850032284967,"N/A",0850032284967,"N/A","Fuel Leak Detectors",1,60.99,-7,9850,729,28,604676.17,44449.55,163,4.7,"AutoLine Pro","USA",2,63060,"N/A","Large Standard-Size",5.2,6.02,7.83,1.63,123.41,340.43,"01/31/2026",15,6,5,60.43
"https://amazon.com/dp/B0DNS49MKY","https://m.media-amazon.com/images/I/81m+5YuWP3L._SX450_.jpg","B0DNS49MKY","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor – Includes Cone and Gas Cap EVAP Adapter.","AutoLine Pro","FBA","Automotive",164,850032284974,"N/A",0850032284974,"N/A","Fuel Leak Detectors",1,64.99,-29,9850,4866,28,604676.17,316169.35,626,4.6,"AutoLine Pro","USA",2,63060,"N/A","Large Standard-Size",5.08,6.06,6.73,1.94,104.31,287.75,"01/31/2026",15,7,5,15.74
"https://amazon.com/dp/B0DNS1GT23","https://m.media-amazon.com/images/I/81hj5JmX2vL._SX450_.jpg","B0DNS1GT23","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor – Includes Gas Cap Adapter for EVAP Leaks.","AutoLine Pro","FBA","Automotive",166,850032284950,"N/A",0850032284950,"N/A","Fuel Leak Detectors",1,60.99,-23,9850,500,28,604676.17,30501.46,105,4.3,"AutoLine Pro","USA",2,63060,"N/A","Large Standard-Size",4.25,5.16,6.02,1.63,66.47,183.36,"01/31/2026",15,7,5,93.81
"https://amazon.com/dp/B0C7MKZPK3","https://m.media-amazon.com/images/I/7137tSvp9IL._SX450_.jpg","B0C7MKZPK3","Solary Automotive Smoke Machine Leak Detector - 12V DC EVAP Vacuum Diagnostic Tester for Pipe System","Solary","FBA","Automotive",530,"N/A",06971709253629,6971709253629,"N/A","Fuel Leak Detectors",2,64.99,-27,2749,2749,-20,178674.93,178647.3,2388,4.6,"solary","China",3,53375,37,"Large Standard-Size",7.2,10.63,11.18,5.45,431.13,1189.32,"02/28/2025",31,9,0,1.15
"https://amazon.com/dp/B0FR8N4R5G","https://m.media-amazon.com/images/I/81l8WRs+60L._SX450_.jpg","B0FR8N4R5G","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester with Built-in Air Pump - Shop Series Plus - Automotive Smoke Tester with Best Ranked Smoke Fluid, Premium Cone & Gas Cap Adapter","AutoLine Pro","FBA","Automotive",2674,850071728347,"N/A",0850071728347,"N/A","Fuel Pressure Testers",1,86.95,-34,1194,620,-7,96684.61,53890.64,12,4.9,"AutoLine Pro","USA",2,23812,72,"Large Standard-Size",7.24,8.39,9.02,4.01,275.86,760.98,"05/31/2025",6,9,4,99.47
"https://amazon.com/dp/B0FR7QBKMV","https://m.media-amazon.com/images/I/51wAPCAcYoL._SX450_.jpg","B0FR7QBKMV","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester – Shop Series - Automotive Tester for Vacuum Leak Detection - Car Machine with Best Ranked Smoke Fluid, Premium Cone & Gas Cap Adapter","AutoLine Pro","FBA","Automotive",2674,850071728330,"N/A",0850071728330,"N/A","Fuel Pressure Testers",1,80.95,-19,1194,145,-7,96684.61,11700.16,14,4.6,"AutoLine Pro","USA",2,23812,72,"Large Standard-Size",7.24,8.43,9.06,3.97,278.4,768,"05/31/2025",6,9,4,85.26
"https://amazon.com/dp/B07JVT1NG2","https://m.media-amazon.com/images/I/71YKO85tuPL._SX450_.jpg","B07JVT1NG2","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester – Shop Series - Automotive Smoke Tester for Vacuum Leak Detection - Car Smoke Machine with Ceramic Smoke Coil and Best Ranked Smoke Fluid","AutoLine Pro","FBA","Automotive",2880,605620262830,"N/A",0605620262830,"N/A","Fuel Pressure Testers",1,69.99,-21,1145,305,-13,92793.36,21366.34,3477,4.5,"AutoLine Pro","USA",2,23754,71,"Large Standard-Size",7.24,8.35,8.98,3.64,273.32,754,"05/31/2025",89,9,4,0.33
"https://amazon.com/dp/B0B2JV8YDP","https://m.media-amazon.com/images/I/51E-WAenFFL._SX450_.jpg","B0B2JV8YDP","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester with Built-in Air Pump - Shop Series Plus - Automotive Smoke Tester for Vacuum Leak Detection - Ceramic Coil and Best Ranked Smoke Fluid","AutoLine Pro","FBA","Automotive",2882,850032284288,"N/A",0850032284288,"N/A","Fuel Pressure Testers",1,79.99,-35,1145,99,-13,92793.36,7925.01,943,4.6,"AutoLine Pro","USA",2,23754,71,"Large Standard-Size",7.2,8.39,9.09,3.55,276.46,762.65,"05/31/2025",89,9,4,1.21
"https://amazon.com/dp/B0F9KXL65B","https://m.media-amazon.com/images/I/612Zoc3ebeL._SX450_.jpg","B0F9KXL65B","AUTOOL Automotive Smoke Machine Lead Detector DC 12V EVAP Vacuum Diagnostic Tester with Built-in Air Pump for Pipe System","AUTOOL","FBA","Automotive",4479,"N/A","N/A",6972697789640,"N/A","Fuel Leak Detectors",4,49,-23,1005,403,14,65594.08,19182.83,2678,4.5,"AUTOOL","China",1,15407,"N/A","Large Standard-Size",7.8,8.43,10.87,3.53,359.85,992.7,"04/30/2025",9,8,10,0.38
"https://amazon.com/dp/B0FJ19MD7P","https://m.media-amazon.com/images/I/41mJL0UJJ3L._SX450_.jpg","B0FJ19MD7P","Automotive Smoke Machine EVAP Leak Detector Vacuum Leak Tester 12V Car Fuel Pipe System Leakage Locator Built-in Air Compressor Motor with Pressure Gauge for Car, Motorcycle, Truck, Boats and More","AUTOOL","FBA","Automotive",4559,"N/A","N/A",6972697789756,"N/A","Fuel Leak Detectors",4,71.25,-19,1005,77,14,65594.08,5519.89,2678,4.5,"AUTOOL","China",1,15407,"N/A","Large Standard-Size",7.36,7.91,10.16,3.7,297.8,821.52,"04/30/2025",7,8,10,0.38
"https://amazon.com/dp/B0BGB16LBC","https://m.media-amazon.com/images/I/61AfWaGpWpL._SX450_.jpg","B0BGB16LBC","Automotive Smoke Machine Leak Detector,Evap Vacuum Smoke Diagnostic Tester,Pipeline Fuel Leakage Detector Compatible with 12V Cars, Trucks, Motorcycle, ATV, Boats, Snowmobiles","AUTOOL","FBA","Automotive",5235,"N/A","N/A",6972697787721,"N/A","Fuel Leak Detectors",3,40.41,16,1005,169,14,65594.08,7443.44,2678,4.5,"AUTOOL","China",1,15407,"N/A","Large Standard-Size",7.24,7.68,10.08,4.03,282.19,778.44,"04/30/2025",41,8,10,0.38
"https://amazon.com/dp/B0BGB41DLK","https://m.media-amazon.com/images/I/61YpFef6TvL._SX450_.jpg","B0BGB41DLK","AUTOOL Smoke Machine Automotive Leak Detector,0-0.46PSI Evap Vacuum Smoke Diagnostic Tester,Pipeline Fuel Leakage Detector Compatible with 12V Vehicles","AUTOOL","FBA","Automotive",5235,"N/A","N/A",6972697787738,"N/A","Fuel Leak Detectors",3,59.99,-20,1005,227,14,65594.08,13227.23,2678,4.5,"AUTOOL","China",1,15407,"N/A","Large Standard-Size",7.24,7.95,10.35,4.54,299.93,827.4,"04/30/2025",41,8,10,0.38
"https://amazon.com/dp/B08QV6RGVS","https://m.media-amazon.com/images/I/615ZDYvVeaL._SX450_.jpg","B08QV6RGVS","AUTOOL Automotive Smoke Machine, EVAP System Smoke Leak Detector with Air Pump/Flow Indicator/Pressure Gauge for All DC12V Vehicles","AUTOOL","FBA","Automotive",5236,692041525774,"N/A",0692041525774,"N/A","Fuel Leak Detectors",3,125.99,"N/A",1005,105,14,65594.08,14189.19,2678,4.5,"AUTOOL","China",1,15407,"N/A","Large Standard-Size",7.05,9.72,9.92,5.16,342.25,944.14,"04/30/2025",82,8,10,0.38
"https://amazon.com/dp/B09FYZBJD3","https://m.media-amazon.com/images/I/61IyebFSjIL._SX450_.jpg","B09FYZBJD3","AUTOOL Automotive Smoke Leak Detector Tester EVAP Smoke Machine with Dual Mode","AUTOOL","FBA","Automotive",5237,"N/A","N/A",6972697783150,"N/A","Fuel Leak Detectors",3,269.99,-25,1005,24,14,65594.08,6029.73,2680,4.5,"AUTOOL","China",1,15407,"N/A","Large bulky",9.5,12,12.75,10.65,471.04,1177.6,"04/30/2025",54,8,10,0.38
"https://amazon.com/dp/B0CB4Y2HL4","https://m.media-amazon.com/images/I/71sP5rVT5cL._SX450_.jpg","B0CB4Y2HL4","AutoLine Pro Enhanced Replacement Bladders 2-Pack for Universal Bladder Adapter 3-in-1 | Accessory for Automotive Smoke Machine Leak Testing","AutoLine Pro","FBA","Automotive",5283,850032284363,"N/A",0850032284363,"N/A","Fuel Leak Detectors",4,9.99,-26,946,50,36,27379.48,498.53,282,4.3,"AutoLine Pro","USA",1,8657,85,"Small Standard-Size",0.47,3.31,5.71,0.09,4.47,12.34,"11/30/2025",32,2,2,3.36
"https://amazon.com/dp/B0BVGZPSV8","https://m.media-amazon.com/images/I/71+gYWtnmCL._SX450_.jpg","B0BVGZPSV8","AutoLine Pro Premium Cone and Plugs 2-in-1 Adapters | for Automotive Smoke Machine Leak Testing | Cone & Cap Plugs Function | CarbonNitrile™ | Patented Design.","AutoLine Pro","FBA","Automotive",5720,850032284257,"N/A",0850032284257,"N/A","Lube Equipment",9,24.99,-8,987,987,185,24656.15,24646.13,317,4.8,"AutoLine Pro","USA",1,7973,80,"Large Standard-Size",1.85,3.98,7.48,0.43,27.71,76.44,"07/31/2025",36,7,0,3.11
"https://amazon.com/dp/B0FBDLBCGL","https://m.media-amazon.com/images/I/71zmbSgVq3L._SX450_.jpg","B0FBDLBCGL","Automotive Smoke Machine 4.4oz Fluid Solution - Starter Size | Thick Smoke | Clean Output | OEM Approved for EVAP Leak, Vacuum, Exhaust, Turbo, Super Chargers, Fuel & Intake and More","AutoLine Pro","FBA","Automotive",8057,850071728262,"N/A",0850071728262,"N/A","Fuel Leak Detectors",6,9.98,"N/A",677,677,60,6753.98,6747.08,63,4.6,"AutoLine Pro","USA",1,0,"N/A","Small Standard-Size",0.71,7.2,9.02,0.33,23.22,64.04,"01/31/2026",9,9,0,12.3
"https://amazon.com/dp/B0F4WF93X4","https://m.media-amazon.com/images/I/71jq2YMHc2L._SX450_.jpg","B0F4WF93X4","TAOPOWER Smoke Machine Automotive Diagnostic Detector - 12V DC EVAP Smoke Leak Tester with Built-in Air Pump for Vehicle Pipe System","TAOPOWER","FBA","Automotive",9642,"N/A","N/A","N/A","N/A","Fuel Leak Detectors",6,59.99,-24,312,312,-21,16441.54,16441.43,101,4.7,"TAOPOWER","China",2,0,"N/A","Large Standard-Size",7.36,7.64,10.04,4.45,284.24,784.1,"10/31/2025",9,7,0,3.18
"https://amazon.com/dp/B0DT11CV4S","https://m.media-amazon.com/images/I/61R9vtnzgYL._SX450_.jpg","B0DT11CV4S","Aurelema 2 Pcs Universal Easy Intake Adapter Automotive Smoke Machine Inflatable Bladder Block off Diagnostic Car Smoke Leak Tester Detector for 12V Vehicles Pipe Fuel Leakage Detection(Blue)","Aurelema","FBA","Automotive",10820,"N/A","N/A","N/A","N/A","Fuel Leak Detectors",7,32.99,-20,166,201,,5341.83,6432.09,23,4.9,"Mjoiubjd","China",1,0,"N/A","Large Standard-Size",2.05,5.28,9.8,0.86,53.41,147.33,"02/28/2026",14,6,2,7.2
