"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0DNRY9NCV","https://m.media-amazon.com/images/I/814KH29kq0L._SX450_.jpg","B0DNRY9NCV","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor - Includes Smoke Fluid x2.","AutoLine Pro","FBA","Automotive",194,850032284943,"N/A",0850032284943,"N/A","Fuel Leak Detectors",1,52.99,-8,12339,3915,23,775109.38,207387.08,692,4.6,"AutoLine Pro","USA",2,87184,"N/A","Large Standard-Size",4.09,5.2,5.98,1.28,64.03,176.64,"02/28/2026",17,6,5,17.83
"https://amazon.com/dp/B0DNS4RB2Q","https://m.media-amazon.com/images/I/51RbjqG+62L._SX450_.jpg","B0DNS4RB2Q","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor – Includes Cone for Vacuum and Exhaust Leaks.","AutoLine Pro","FBA","Automotive",194,850032284967,"N/A",0850032284967,"N/A","Fuel Leak Detectors",1,60.99,-14,12339,750,23,775109.38,45758.26,202,4.7,"AutoLine Pro","USA",2,87184,"N/A","Large Standard-Size",5.2,6.02,7.83,1.63,123.41,340.43,"02/28/2026",17,6,5,61.08
"https://amazon.com/dp/B0DNS49MKY","https://m.media-amazon.com/images/I/81m+5YuWP3L._SX450_.jpg","B0DNS49MKY","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor – Includes Cone and Gas Cap EVAP Adapter.","AutoLine Pro","FBM","Automotive",194,850032284974,"N/A",0850032284974,"N/A","Fuel Leak Detectors",1,64.99,"N/A",12339,6286,23,775109.38,408434.28,879,4.7,"AutoLine Pro","USA",2,87184,"N/A","Large Standard-Size",5.08,6.06,6.73,1.94,"N/A","N/A","02/28/2026",17,7,5,14.04
"https://amazon.com/dp/B0DNS1GT23","https://m.media-amazon.com/images/I/81hj5JmX2vL._SX450_.jpg","B0DNS1GT23","AutoLine Pro HyperSmoke™ Automotive Smoke Machine EVAP Vacuum Leak Tester – Adjustable Pressure – OEM Approved Smoke Fluid – Built-in Air Compressor Motor – Includes Gas Cap Adapter for EVAP Leaks.","AutoLine Pro","FBA","Automotive",194,850032284950,"N/A",0850032284950,"N/A","Fuel Leak Detectors",1,60.99,-28,11797,383,13,740649.53,23331.91,136,4.4,"AutoLine Pro","USA",2,86643,"N/A","Large Standard-Size",4.25,5.16,6.02,1.63,66.47,183.36,"02/28/2026",17,7,5,86.74
"https://amazon.com/dp/B0C7MKZPK3","https://m.media-amazon.com/images/I/7137tSvp9IL._SX450_.jpg","B0C7MKZPK3","Solary Automotive Smoke Machine Leak Detector - 12V DC EVAP Vacuum Diagnostic Tester for Pipe System","Solary","FBA","Automotive",2333,"N/A",06971709253629,6971709253629,"N/A","Fuel Leak Detectors",2,64.99,-21,2563,2563,-24,166553.54,166527.79,2550,4.6,"solary","China",3,50032,11,"Large Standard-Size",7.2,10.63,11.18,5.45,431.13,1189.32,"02/28/2025",32,9,0,1.01
"https://amazon.com/dp/B0FR7QBKMV","https://m.media-amazon.com/images/I/81GCBD7lqrL._SX450_.jpg","B0FR7QBKMV","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester – Shop Series - Automotive Tester for Vacuum Leak Detection - Car Machine with Best Ranked Smoke Fluid, Premium Cone & Gas Cap Adapter","AutoLine Pro","FBA","Automotive",2889,850071728330,"N/A",0850071728330,"N/A","Fuel Pressure Testers",2,89.99,-29,2136,277,78,174290.51,22129.29,31,4.4,"AutoLine Pro","USA",2,23468,36,"Large Standard-Size",7.24,8.43,9.06,3.97,278.4,768,"05/31/2025",7,9,4,68.92
"https://amazon.com/dp/B0FR8N4R5G","https://m.media-amazon.com/images/I/51qVG5CjfWL._SX450_.jpg","B0FR8N4R5G","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester with Built-in Air Pump - Shop Series Plus - Automotive Smoke Tester with Best Ranked Smoke Fluid, Premium Cone & Gas Cap Adapter","AutoLine Pro","FBA","Automotive",2890,850071728347,"N/A",0850071728347,"N/A","Fuel Pressure Testers",2,119.99,-3,2136,985,78,174290.51,88606.4,54,4.8,"AutoLine Pro","USA",2,23468,36,"Large Standard-Size",7.24,8.39,9.02,4.01,275.86,760.98,"05/31/2025",7,9,4,39.56
"https://amazon.com/dp/B0B2JV8YDP","https://m.media-amazon.com/images/I/81jv-ml4fFL._SX450_.jpg","B0B2JV8YDP","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester with Built-in Air Pump - Shop Series Plus - Automotive Smoke Tester for Vacuum Leak Detection - Ceramic Coil and Best Ranked Smoke Fluid","AutoLine Pro","FBA","Automotive",2890,850032284288,"N/A",0850032284288,"N/A","Fuel Pressure Testers",2,79.99,-6,2161,197,82,176299.36,15780.4,960,4.6,"AutoLine Pro","USA",2,23515,37,"Large Standard-Size",7.17,9.06,12.01,3.48,392.79,1083.57,"05/31/2025",91,9,4,2.25
"https://amazon.com/dp/B07JVT1NG2","https://m.media-amazon.com/images/I/51Y8gcDcieL._SX450_.jpg","B07JVT1NG2","AutoLine Pro EVAP High Volume Smoke Machine Leak Tester – Shop Series - Automotive Smoke Tester for Vacuum Leak Detection - Car Smoke Machine with Ceramic Smoke Coil and Best Ranked Smoke Fluid","AutoLine Pro","FBA","Automotive",2904,605620262830,"N/A",0605620262830,"N/A","Fuel Pressure Testers",2,69.99,-38,2136,677,78,174290.51,47784.15,3492,4.5,"AutoLine Pro","USA",2,23468,36,"Large Standard-Size",7.2,8.39,9.17,3.64,278.89,769.36,"05/31/2025",91,9,4,0.61
"https://amazon.com/dp/B0DYDF5GQM","https://m.media-amazon.com/images/I/61CmCm8fpsL._SX450_.jpg","B0DYDF5GQM","Csttler Automotive Smoke Machine with Built-in Air Pump & Compressor Motor – 12V DC EVAP Smoke Machine for Cars, Motorcycles, Trucks, Boats & ATVs","Csttler","FBA","Automotive",6394,755086741520,"N/A",0755086741520,"N/A","Fuel Leak Detectors",3,53.99,-20,734,734,6,39613.12,39613.02,141,4.2,"Double Strong Tools","China",1,0,"N/A","Large Standard-Size",7.24,10.51,11.18,5.27,428.31,1181.55,"02/28/2026",14,6,0,5.2
"https://amazon.com/dp/B0FJ19MD7P","https://m.media-amazon.com/images/I/61imUVnb+HL._SX450_.jpg","B0FJ19MD7P","Automotive Smoke Machine EVAP Leak Detector Vacuum Leak Tester 12V Car Fuel Pipe System Leakage Locator Built-in Air Compressor Motor with Pressure Gauge for Car, Motorcycle, Truck, Boats and More","AUTOOL","FBA","Automotive",7375,"N/A","N/A",6972697789756,"N/A","Fuel Leak Detectors",5,75,-12,873,67,-28,62708.91,4998.54,2752,4.5,"AUTOOL","China",1,13932,"N/A","Large Standard-Size",7.36,7.91,10.16,3.7,297.8,821.52,"04/30/2025",9,8,10,0.32
