"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0DP4R1RS7","https://m.media-amazon.com/images/I/41fvA+2CtTL._SX450_.jpg","B0DP4R1RS7","TOOLTOP T7 - Thermal Imaging Camera for Android Smartphones USB-C Portable Mini Thermal Imaging Camera 256 * 192 25Hz Type-C Thermal Imager Used with Mobile APP (T7 - with Micro Lens)","Generic","FBA","Industrial & Scientific",1714949,"N/A","N/A","N/A","N/A","Thermal Imagers",739,222.99,11,0,0,,"-","-",1,3,"Heegkqu Direct","China",1,1,"N/A","Large Standard-Size",4.53,3.15,2.17,0.44,15.55,42.89,"12/31/2024",16,8,2,0
"https://amazon.com/dp/B0CWD3YT1R","https://m.media-amazon.com/images/I/61L+9tgQmHL._SX450_.jpg","B0CWD3YT1R","Infrared thermal imaging camera 320 x 240, mini thermal imaging camera, thermometer measurement tool handheld 3.2-inch display (HT-A2)","GOYOJO","FBM","Industrial & Scientific",1727715,658361254305,"N/A",0658361254305,"N/A","Thermal Imagers",740,499,-75,1,0,,345.83,"-","N/A","N/A","HUITEN","China",2,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2025",25,5,2,"N/A"
"https://amazon.com/dp/B0CWCS7WF9","https://m.media-amazon.com/images/I/71Ply5S4f3L._SX450_.jpg","B0CWCS7WF9","Infrared thermal imaging camera 220 x 160, mini thermal imaging camera, thermometer measurement tool handheld 3.2-inch display (HT-A1)","GOYOJO","FBM","Industrial & Scientific",1727795,658361254299,"N/A",0658361254299,"N/A","Thermal Imagers",741,399,-70,1,1,,345.83,238.02,"N/A","N/A","HUITEN","China",2,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2025",25,9,2,"N/A"
"https://amazon.com/dp/B0DNSV3QT3","https://m.media-amazon.com/images/I/61ngkqzHu4L._SX450_.jpg","B0DNSV3QT3","High Resolution Infrared Thermal Imaging Camera For Android Phones, Thermal Imaging Camera, Type-C Mobile Phone Infrared Thermal Imager","CRIDENG","FBM","Industrial & Scientific",1731890,"N/A","N/A","N/A","N/A","Thermal Imagers",742,89.32,"N/A",0,0,,"-","-","N/A","N/A","Carewepet","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2025",16,5,0,"N/A"
"https://amazon.com/dp/B0DK38NNXJ","https://m.media-amazon.com/images/I/61hbDm6QB6L._SX450_.jpg","B0DK38NNXJ","XEAST Thermal Imaging Camera, 160 x 120 IR Resolution Handheld Infrared Camera 320 x 240 Thermal Imaging Gun, 2.8"" LCD Screen, 25Hz, -4°F to 1022°F, Thermal Imager with PC Analysis & Video Recording","XEAST","FBA","Industrial & Scientific",1733134,"N/A","N/A","N/A","N/A","Thermal Imagers",743,139.99,-36,0,0,,"-","-",2,2,"MAOTAI INSTRUMETNS","China",1,0,"N/A","Large Standard-Size",7.87,3.94,3.94,0.84,61.45,169.51,"02/28/2025",17,9,0,0.07
"https://amazon.com/dp/B0DQS8FDGT","https://m.media-amazon.com/images/I/51G20hKEncL._SX450_.jpg","B0DQS8FDGT","Infrared Thermal Imaging Camera,Temperature Measurement Tool Thermal Imager For Android Phones, High Resolution Thermal Imaging Device","Generic","FBM","Industrial & Scientific",1733997,"N/A","N/A","N/A","N/A","Thermal Imagers",744,87.99,-4,0,0,,"-","-","N/A","N/A","JShomeDZ","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2025",15,9,0,"N/A"
"https://amazon.com/dp/B08FRPVLKR","https://m.media-amazon.com/images/I/41ibqlPJ5XL._SX450_.jpg","B08FRPVLKR","RETYLY GM321 Handheld IR Thermal Imaging Camera Digital ColorDisplay Infrared Resolution Thermal Imager Camera","RETYLY","FBM","Industrial & Scientific",1747171,"N/A","N/A",4712766433355,"N/A","Thermal Imagers",749,15.94,-22,0,0,,"-","-","N/A","N/A","huizhoushilinfengkejiyouxiangongsi","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","01/31/2025",51,7,0,"N/A"
"https://amazon.com/dp/B0C8CDR4NP","https://m.media-amazon.com/images/I/21GC1D22bUL._SX450_.jpg","B0C8CDR4NP","UNI-T UTi80P Mini Thermal Imager Pocket Infrared Thermal Imaging Compact Camera with Industrial Floor Temperature Detection","UNI-T","FBM","Industrial & Scientific",1747696,"N/A","N/A","N/A","N/A","Thermal Imagers",746,363.13,-32,0,0,,"-","-","N/A","N/A","Qiudantimes","United Kingdom of Great Britain and Northern Ireland",1,0,"N/A","Large Standard-Size",7.87,7.87,7.87,2.2,"N/A","N/A","01/31/2025",33,1,0,"N/A"
"https://amazon.com/dp/B0DSV92DPS","https://m.media-amazon.com/images/I/51ENicub5uL._SX450_.jpg","B0DSV92DPS","101020894, Camera Development Tools Grove - Thermal Imaging Camera - MLX90614 DCI IR Array with 5 FOV","Generic","FBM","Industrial & Scientific",1750087,"N/A","N/A","N/A","N/A","Thermal Imagers",749,144.99,-29,0,0,,"-","-","N/A","N/A","Neutron USA","USA",1,1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","01/31/2025",14,1,0,"N/A"
"https://amazon.com/dp/B0D5MGVWPW","https://m.media-amazon.com/images/I/61yTu4onDvL._SX450_.jpg","B0D5MGVWPW","KKnoon 32 * 24 Pixel Infrared Sensors Portable Thermal Imager Handheld 1.8inch TFT Display 160 * 128 Resolution Clear Definition Imaging Camera -40℃ to 300℃ Temperature Measurement Instrument","KKnoon","FBM","Industrial & Scientific",1750281,"N/A","N/A","N/A","N/A","Thermal Imagers",751,69.49,-25,0,0,,"-","-","N/A","N/A","Huanancord","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","01/31/2025",22,9,0,"N/A"
