"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0F5WTBCNP","https://m.media-amazon.com/images/I/71ZGIer0deL._SX450_.jpg","B0F5WTBCNP","BSIDE Thermal Imaging Camera Multimeter 320×320 Resolution with 20000 Words Multimeter Function 3.98'' Touchscreen 25Hz Infrared Thermal Camera (-20-550℃) 15 Thermal Palettes TRMS Auto-Ranging Tester","MAXRIENY","FBA","Industrial & Scientific",727488,"N/A","N/A",6933540318028,"N/A","Thermal Imagers",393,249.99,-1,0,0,,"-","-",6,3.3,"MAXRIENY","China",1,0,"N/A","Large Standard-Size",2.05,6.3,11.42,1.15,74.26,204.85,"09/30/2025",12,9,0,0.01
"https://amazon.com/dp/B0DFG2YR7K","https://m.media-amazon.com/images/I/71pl7lNSeJL._SX450_.jpg","B0DFG2YR7K","Utezena Thermal Imaging Night Vision Camera for Cars & Trucks, 650ft Detection Range, 256x192 Resolution, AI Collision Alerts with Super Separation for Safer Driving","Utezena","FBM","Industrial & Scientific",730879,717181247659,"N/A",0717181247659,"N/A","Thermal Imagers",395,499.99,-37,0,0,-62,"-","-",1,5,"Qting","China",1,14,"N/A","Large Standard-Size",8.27,3.94,8.66,2.2,"N/A","N/A","10/31/2025",20,7,0,0
"https://amazon.com/dp/B0GTVLFS8N","https://m.media-amazon.com/images/I/71HHpuN4BdL._SX450_.jpg","B0GTVLFS8N","ET692C Professional Thermal Imaging Camera 256 * 192 Handheld Thermal Imager 25hz -20~550°C for Pipeline Heating Leak Automotive Inspect","QDTimes","-","Industrial & Scientific",742194,"N/A","N/A","N/A","N/A","Thermal Imagers",407,309,"N/A",1,1,,309,309,"N/A","N/A",,"N/A",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/31/2026",1,"N/A",0,"N/A"
"https://amazon.com/dp/B07RSWM7DX","https://m.media-amazon.com/images/I/512tMtWn7HL._SX450_.jpg","B07RSWM7DX","YuqiaoTime HT-18 Plus(HT-18+) IR 256 * 192 Handheld Infrared Thermal Imager,-20℃ to +550℃ Power Interface Micro USB Free Focus 3.2-inch Display","YuqiaoTime","FBM","Industrial & Scientific",742199,191673190218,"N/A",0191673190218,"N/A","Thermal Imagers",404,398,9,1,1,,481.41,481.35,6,5,"Yuqiao--Store","Hong Kong",1,5,25,"Large Standard-Size",3.9,5.2,10.35,2.23,"N/A","N/A","07/31/2024",37,4,0,0.2
"https://amazon.com/dp/B0C96ZZLXT","https://m.media-amazon.com/images/I/51vV+b3pgdL._SX450_.jpg","B0C96ZZLXT","J-ZMQER USB Power Charger Cable Cord Compatible with FLIR i3 i5 i7 Thermal Imaging Infrared Camera","J-ZMQER","FBM","Industrial & Scientific",742284,"N/A","N/A","N/A","N/A","Thermal Imagers",405,8.98,-26,3,3,,25.97,25.89,"N/A","N/A","J-ZMQER","China",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/31/2026",34,4,0,"N/A"
"https://amazon.com/dp/B098XXWRXL","https://m.media-amazon.com/images/I/41qjLMU-TvL._SX450_.jpg","B098XXWRXL","UNI-T UTi260B 256 Heavy Duty Series Thermal Imager","UNI-T","FBA","Industrial & Scientific",745780,"N/A","N/A",6935750526149,"N/A","Thermal Imagers",407,483.99,-5,0,0,300,"-","-",52,4.4,"UNI-T US","USA",1,13,-24,"Large Standard-Size",3.82,5.94,10.55,1.94,120.6,332.7,"03/31/2025",38,9,6,0
"https://amazon.com/dp/B0FXX9HTYZ","https://m.media-amazon.com/images/I/61IzZDSEp7L._SX450_.jpg","B0FXX9HTYZ","UNI-T Infrared Thermal Imaging Camera, Rechargable Handheld Thermal Scanner 320 x 240 Super Resolution IR Heat Camera for Home Wall Inspection 14℉-752℉ High/Low Temp Alerts UTi165A","UNI-T","FBA","Industrial & Scientific",752691,"N/A","N/A","N/A","N/A","Thermal Imagers",409,299.99,-47,3,3,400,973.51,973.43,"N/A","N/A","Xin Tester Tools Factory Store","China",1,0,"N/A","Large Standard-Size",9.4,3.1,3.5,2,51.35,141.65,"02/28/2026",6,8,0,"N/A"
"https://amazon.com/dp/B00HFQ1YD4","https://m.media-amazon.com/images/I/71ZxRCa5tAL._SX450_.jpg","B00HFQ1YD4","Fluke - FLUKE-CV300 FLUKE- CV300 3"" Infrared Window with Hand Turn Door Latch, 5.57"" x 4.39"", 75 mm","Fluke","Amazon","Industrial & Scientific",757210,785577748301,00095969667074,0785577748301,"N/A","Thermal Imagers",412,569.98,191,1,1,,710.96,710.91,0,"N/A","Amazon","N/A",2,2,-50,"Large Standard-Size",2.6,6.3,7.64,1.97,"N/A","N/A","11/30/2024",148,3,0,"N/A"
"https://amazon.com/dp/B0BR54D2FJ","https://m.media-amazon.com/images/I/41+rRd5FD3L._SX450_.jpg","B0BR54D2FJ","Thermal Expert TE-SQ1, Thermal Imaging Camera, 384x288 IR Resolution, 5"" Touch Screen, Designed and Manufactured in Korea, -40℉~662℉, Excellent Performance for Abnormal Temperature Inspection","Thermal Expert","FBA","Industrial & Scientific",760447,"N/A","N/A","N/A","N/A","Thermal Imagers",413,599,-18,0,0,-67,"-","-",4,2.8,"Thermal Expert Store","Korea, Republic of",1,16,-16,"Large Standard-Size",3.62,4.8,7.4,1.79,64.74,178.59,"06/30/2025",40,9,0,0.01
"https://amazon.com/dp/B0FJY56NDW","https://m.media-amazon.com/images/I/41VlgN4YRJL._SX450_.jpg","B0FJY56NDW","BANSAINONG Thermal Monocular and Night Vision Dual System Scope, 256x192 (60 Hz) Refresh Rate 12um Thermal Scope with Adjustable 11 Color Palettes, for Night Camping","Bansainong","FBA","Industrial & Scientific",761373,"N/A","N/A","N/A","N/A","Thermal Imagers",415,299.99,68,0,0,-133,"-","-",2,3,"Bansainong","China",1,0,"N/A","Large Standard-Size",6,2.3,7.4,1.3,51.41,141.83,"09/30/2025",9,7,0,0
