"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B00ULSWBSU","https://m.media-amazon.com/images/I/519titxNeCL._SX450_.jpg","B00ULSWBSU","Zerust Rust Prevention Plastabs .50"" x .50"" - Pack of 25 | Plastabs are Thin, Light, Rigid polyethylene Squares That are Made with Patented Corrosion-inhibiting Technology - Made in The USA","Zerust","FBA","Automotive",845836,"N/A","N/A","N/A","N/A","Corrosion & Rust Inhibitors",715,9.95,-37,13,13,156,131.15,130.93,52,4.3,"TechnologyLK","USA",2,97,-29,"Small Standard-Size",0.24,2.99,3.78,0.04,1.37,3.77,"05/31/2024",134,2,0,0.25
"https://amazon.com/dp/B002NFWH4C","https://m.media-amazon.com/images/I/714u19qp7ML._SX450_.jpg","B002NFWH4C","Driven Racing Oil 00630 75W-110 Synthetic Gear Oil - 1 Quart Bottle","Driven Racing Oil","Amazon","Automotive",845928,184146006307,00184146006307,0184146006307,"N/A","Gear Oils",431,31.59,9,1,1,-50,20.71,20.69,6,4.6,"Amazon","N/A",11,10,25,"Large Standard-Size",12.7,3.5,2.7,2,"N/A","N/A","06/30/2025",201,1,0,0.12
"https://amazon.com/dp/B0077K8X4G","https://m.media-amazon.com/images/I/71H8wAH-0TL._SX450_.jpg","B0077K8X4G","MAG 1 830 High Performance SAE 85W-140 Gear Lubricant - 1 Quart","Mag 1","Amazon","Automotive",846649,071621008300,00071621008300,0071621008300,"N/A","Gear Oils",443,12.59,-47,2,2,200,45.89,19.74,1,3,"Amazon","N/A",9,10,900,"Large Standard-Size",3.6,11.5,1.3,2,"N/A","N/A","01/31/2026",171,1,2,2.11
"https://amazon.com/dp/B0GVJHBN8Y","https://m.media-amazon.com/images/I/41S2wi0KoaL._SX450_.jpg","B0GVJHBN8Y","Rust Remover Spray for Metal, Powerful Rust Remover Heavy Duty Metal Cleaner, Multipurpose Rust Stain Remover for Metal, Stainless Steel, Automotive Parts, Fast Acting (1PCS)","Generic","FBA","Automotive",846753,"N/A","N/A","N/A","N/A","Corrosion & Rust Inhibitors",698,12.99,"N/A",81,81,,1202.43,1201.52,3,2.8,"guangzhouluwanshangmaoyouxiangongsi","N/A",1,0,"N/A","Large Standard-Size",2.44,5,7.99,0.44,49.08,135.39,"03/31/2026",2,7,0,27.02
"https://amazon.com/dp/B0CQC6JYN7","https://m.media-amazon.com/images/I/51-a8E35d7L._SX450_.jpg","B0CQC6JYN7","Semi-Syn 20W-50","Maxima","Amazon","Automotive",848161,051027002706,"N/A",0051027002706,"N/A","Motor Oils",2278,43.99,-25,6,6,1050,266.95,266.76,4,5,"Amazon","N/A",6,47,"N/A","Large Standard-Size",4.65,9.37,12.36,7.72,"N/A","N/A","08/31/2025",35,1,0,1.52
"https://amazon.com/dp/B0BS6TYNRX","https://m.media-amazon.com/images/I/51FxRNCloQL._SX450_.jpg","B0BS6TYNRX","Motul Lubricants 105892 Snowpower 4T Synthetic Oil - 0W40-4 L.","Motul","FBM","Automotive",848297,"N/A","N/A","N/A","N/A","Motor Oils",2279,54.95,-41,0,0,-33,"-","-","N/A","N/A","Newparts","USA",4,7,133,"Large Standard-Size",4.29,7.4,11.18,8.05,"N/A","N/A","03/31/2026",40,1,0,"N/A"
"https://amazon.com/dp/B003TQ10QA","https://m.media-amazon.com/images/I/71WUOLM9XjL._SX450_.jpg","B003TQ10QA","Red Line 30404 Power Steering Fluid - 1 Quart","Red Line","FBM","Automotive",848632,192019099318,"N/A",0192019099318,"N/A","Power Steering Fluids",112,22.15,-27,3,3,1200,56.1,56.02,1,4,"R/A Hoerr Incorporated","USA",11,27,440,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","12/31/2025",164,8,0,2.53
"https://amazon.com/dp/B07HFJPNYK","https://m.media-amazon.com/images/I/71CyKGa321L._SX450_.jpg","B07HFJPNYK","BRP New OEM XPS 4T 10W-50 Synthetic Oil Quart, 779234","BRP","FBM","Automotive",849241,"N/A","N/A","N/A","N/A","Motor Oils",2282,23.4,94,8,8,-17,186.81,186.66,16,4.9,"LEADERS RPM","USA",1,107,-40,"Large Standard-Size",2.72,4.84,7.72,1.94,"N/A","N/A","05/31/2024",92,1,0,0.49
"https://amazon.com/dp/B0GV1X2LJK","https://m.media-amazon.com/images/I/71AxBUy4HOL._SX450_.jpg","B0GV1X2LJK","Dynatex DynaBlack RTV Silicone Gasket Maker 85g Tube - 500°F High Temperature, Sensor Safe, Low Odor, and Non-Corrosive Silicone Sealing Compound Made in the USA (5-Pack)","Dynatex","FBM","Automotive",849287,787930047922,"N/A",0787930047922,"N/A","Oils & Fluids",9015,39.95,"N/A",13,2,,501.61,61,9,4,"MASS Depot","USA",1,0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/31/2026",2,9,18,1.48
"https://amazon.com/dp/B0DVMTZ37B","https://m.media-amazon.com/images/I/81YuvvnAgpL._SX450_.jpg","B0DVMTZ37B","Multi-Purpose Grease for Lubrication and Superior Protection from Rust and Corrosion","Blaster","FBM","Automotive",849311,"N/A",10032167770035,"N/A","N/A","Lithium",412,42,-36,7,7,-32,279,278.91,"N/A","N/A","Advanced DS","USA",3,70,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","03/31/2026",16,3,0,"N/A"
"https://amazon.com/dp/B075GV81LT","https://m.media-amazon.com/images/I/31rIf4PuFsL._SX450_.jpg","B075GV81LT","Castle C1606 Muscle Grease, 10.5 oz, 3-Pack","Castle","FBM","Automotive",849775,"N/A","N/A","N/A","N/A","Lithium",422,39.55,-27,11,11,3900,413.6,413.4,26,4.3,"HoseltonOnline","USA",1,92,8,"Large Standard-Size",8,5.6,5.6,3,"N/A","N/A","08/31/2024",82,1,0,0.43
"https://amazon.com/dp/B0FPF5JVF5","https://m.media-amazon.com/images/I/61jj3lItylL._SX450_.jpg","B0FPF5JVF5","YOA Metal Paint, Water-Based Rust-Proof Paint, 16 fl oz, Metal Primer and Protective Coating, Rust-Proof Coating, Permanently Prevents Rusts (Matte Black)","YOA","FBA","Automotive",849809,765452848630,"N/A",0765452848630,"N/A","Corrosion & Rust Inhibitors",698,26.99,-29,280,34,81,8615.86,921.49,23,4.7,"Decorate your life","China",1,0,"N/A","Large Standard-Size",4.76,4.84,5.63,1.5,65.3,180.15,"04/30/2026",5,8,0,12.16
"https://amazon.com/dp/B0DTRM86YD","https://m.media-amazon.com/images/I/81IS1Ev7VmL._SX450_.jpg","B0DTRM86YD","Henry's H3053996 (Case of 12) SAE 10W-40 Synthetic Blend Oil Quarts and Fuel Treatment","Henry's","FBM","Automotive",849921,"N/A","N/A","N/A","N/A","Motor Oils",2282,99.95,6,1,1,,108.08,108.02,"N/A","N/A","BrandNewEngines, Inc","USA",1,0,"N/A","Large bulky",14,10,10,25,"N/A","N/A","04/30/2026",16,6,0,"N/A"
"https://amazon.com/dp/B097YJ13M6","https://m.media-amazon.com/images/I/417T0V3h8dS._SX450_.jpg","B097YJ13M6","XT11QDC 2-Quarts DCT Dual Clutch Transmission Fluid Compatible with Ford","MyParts","FBM","Automotive",849981,"N/A","N/A",3683914122562,"N/A","Fluids",583,89.95,-9,0,0,-114,"-","-","N/A","N/A","International Quality Parts","USA",1,8,300,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","02/28/2026",59,1,0,"N/A"
"https://amazon.com/dp/B00BNVJS9O","https://m.media-amazon.com/images/I/61RTutQ73YL._SX450_.jpg","B00BNVJS9O","Genuine Nissan Accessories (999MP-AM006P) Transmission Cooler Flush - 15 oz.","NISSAN","FBM","Automotive",850041,"N/A","N/A","N/A","N/A","Fluids",574,20.78,3,0,0,-133,"-","-",50,4.4,"Bergstrom Honda","USA",4,22,-19,"Large Standard-Size",5.5,3.2,9.3,1.25,"N/A","N/A","02/28/2025",159,1,0,0
"https://amazon.com/dp/B00TO693OK","https://m.media-amazon.com/images/I/71fgoFvBU0L._SX450_.jpg","B00TO693OK","Joe Gibbs Driven Racing Oil 02406 DT40 5W-40 Synthetic Oil - 1 Quart Bottle (Quantity 4)","Driven Racing Oil","FBM","Automotive",850262,613652257595,"N/A",0613652257595,"N/A","Motor Oils",2281,92.95,-1,2,2,200,146.06,145.98,5,4.5,"Gear Headz Products LLC","USA",2,16,220,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","12/31/2025",98,1,0,0.31
"https://amazon.com/dp/B0GQHRXK2H","https://m.media-amazon.com/images/I/81NKDBNNwkL._SX450_.jpg","B0GQHRXK2H","2pcs Rust Remover Spray for Metal,2026 Upgrade Rust Remover for Metal,Rust Remover Spray Heavy Duty Metal Cleaner for Vehicles, Tools, Chains, Iron Out Rust Stain Remover","Generic","-","Automotive",850327,"N/A","N/A","N/A","N/A","Corrosion & Rust Inhibitors",712,8.88,"N/A",22,22,,264.6,264.28,"N/A","N/A",,"N/A",1,0,"N/A","Large Standard-Size",3.15,3.19,5.75,0.55,"N/A","N/A","03/31/2026",1,"N/A",0,"N/A"
"https://amazon.com/dp/B0859L841W","https://m.media-amazon.com/images/I/61+UmsgPMlL._SX450_.jpg","B0859L841W","Valvoline Dextron/Mercon Trans Fluid Quart","Valvoline","FBM","Automotive",850583,"N/A","N/A","N/A","N/A","Fluids",575,19.39,-23,1,1,50,21.52,21.47,2,3,"3T Motorsports","USA",3,24,"N/A","Large Standard-Size",6.65,4.75,10.9,2.92,"N/A","N/A","05/31/2025",75,1,0,0.55
"https://amazon.com/dp/B001HWA2SK","https://m.media-amazon.com/images/I/71c4AZw1krL._SX450_.jpg","B001HWA2SK","Loctite 80209 Silver Grade Anti-Seize, 4 oz. Can","Loctite","FBM","Automotive",851199,079340802094,00079340802094,0079340802094,"N/A","Anti-Seize",141,21.39,13,0,0,-57,"-","-",209,4.7,"Megamart USA","USA",4,12,-33,"Large Standard-Size",2.25,2.25,3,0.5,"N/A","N/A","01/31/2026",258,1,0,0
"https://amazon.com/dp/B081J3TXJ9","https://m.media-amazon.com/images/I/41phB7D59vL._SX450_.jpg","B081J3TXJ9","STP 17925 Power Steering Fluid & Stop Leak, 12 fl. oz. (Pack of 2)","STP","FBM","Automotive",851221,071153660465,"N/A",0071153660465,"N/A","Power Steering Fluids",108,10.39,-17,5,5,-52,48.55,48.41,39,4.8,"World Wholesalers USA","USA",12,86,-68,"Large Standard-Size",2.48,5.43,8.27,1.5,"N/A","N/A","06/30/2024",90,1,0,0.12
