"URL","Image URL","ASIN","Title","Brand","Fulfillment","Category","BSR","UPC","GTIN","EAN","ISBN","Subcategory","Subcategory BSR","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Seller Country/Region","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Shipping Details","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Listing Age (Months)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B08CNHVSKB","https://m.media-amazon.com/images/I/41K7MV0HOZL._SX450_.jpg","B08CNHVSKB","Mobil 1 Truck & SUV Full Synthetic Motor Oil 5W-30, 5 Quart","Mobil","Amazon","Automotive",4,071924449886,"N/A",0071924449886,"N/A","Motor Oils",1,33.18,-15,94463,3348,50,2486688.67,104323.62,651,4.9,"Amazon","N/A",3,917065,67,"Large Standard-Size",5.2,9.41,13.9,9.37,"N/A","N/A","04/30/2026",65,9,39,145.11
"https://amazon.com/dp/B08YS1BQ7B","https://m.media-amazon.com/images/I/71NpSXDqbeL._SX450_.jpg","B08YS1BQ7B","Valvoline Extended Protection Full Synthetic Motor Oil SAE 5W-30 1 QT","Valvoline","Amazon","Automotive",4,074130049178,"N/A",0074130049178,"N/A","Motor Oils",1,8.97,-20,61874,640,-25,2080298.89,6091.55,1376,4.8,"Amazon","N/A",6,0,"N/A","Large Standard-Size",1.57,2.6,7.4,1.94,"N/A","N/A","02/28/2026",62,8,92,44.97
"https://amazon.com/dp/B07NLXS67R","https://m.media-amazon.com/images/I/41Chn3oQ2SL._SX450_.jpg","B07NLXS67R","Valvoline Advanced Full Synthetic SAE 10W-30 Motor Oil 5 QT, Case of 3","Valvoline","Amazon","Automotive",4,074130032149,00074130032149,0074130032149,"N/A","Motor Oils",1,80.91,31,61874,137,-25,2080298.89,14174.97,1896,4.8,"Amazon","N/A",5,0,"N/A","Large bulky",10,13.5,15.3,29.65,"N/A","N/A","02/28/2026",87,8,92,32.63
"https://amazon.com/dp/B00062YCF6","https://m.media-amazon.com/images/I/61GhB0VZlvL._SX450_.jpg","B00062YCF6","Valvoline Advanced Full Synthetic SAE 10W-30 Motor Oil 1 QT, Case of 6","Valvoline","Amazon","Automotive",4,074130935068,00074130935068,0074130935068,"N/A","Motor Oils",1,32.36,-17,61874,331,-25,2080298.89,12717.52,1896,4.8,"Amazon","N/A",6,0,"N/A","Large Standard-Size",5.87,9.45,12.83,11.93,"N/A","N/A","02/28/2026",241,7,92,32.63
"https://amazon.com/dp/B07ZCQXGXP","https://m.media-amazon.com/images/I/61nVt2zC-CL._SX450_.jpg","B07ZCQXGXP","Valvoline Advanced Full Synthetic SAE 0W-16 Motor Oil 5 QT, Case of 3","Valvoline","Amazon","Automotive",4,074130029736,"N/A",0074130029736,"N/A","Motor Oils",1,123.23,-1,61874,169,-25,2080298.89,19290.72,613,4.7,"Amazon","N/A",2,0,"N/A","Large bulky",9.15,13.5,15,28.85,"N/A","N/A","02/28/2026",79,7,92,100.94
"https://amazon.com/dp/B000GAP428","https://m.media-amazon.com/images/I/61QjxvrsnPL._SX450_.jpg","B000GAP428","Valvoline - VV966-CS 5W-40 MST SynPower Full Synthetic Motor Oil - 1qt (Case of 6) (VV966-6PK)","Valvoline","Amazon","Automotive",4,074130966062,"N/A",0074130966062,"N/A","Motor Oils",1,53.95,47,61874,375,-25,2080298.89,19803.58,2881,4.8,"Amazon","N/A",5,0,"N/A","Large Standard-Size",5.8,9.33,13,11.94,"N/A","N/A","02/28/2026",241,8,92,21.48
"https://amazon.com/dp/B00GZKC6DS","https://m.media-amazon.com/images/I/41L0fHEOTaL._SX450_.jpg","B00GZKC6DS","Valvoline Advanced Full Synthetic SAE 5W-30 Motor Oil 5 QT","Valvoline","Amazon","Automotive",4,074130032125,00074130032125,0074130032125,"N/A","Motor Oils",1,26.97,-33,61874,6294,-25,2080298.89,169685.01,13316,4.8,"Amazon","N/A",22,0,"N/A","Large Standard-Size",4.76,9.76,13.07,9.32,"N/A","N/A","02/28/2026",150,8,92,4.65
"https://amazon.com/dp/B000GAD05G","https://m.media-amazon.com/images/I/61iiyqDfXbL._SX450_.jpg","B000GAD05G","Valvoline Advanced Full Synthetic SAE 5W-20 Motor Oil 1 QT, Case of 6","Valvoline","Amazon","Automotive",4,074130927063,00074130927063,0074130927063,"N/A","Motor Oils",1,49.5,-34,61874,273,-25,2080298.89,13548.86,4245,4.8,"Amazon","N/A",7,0,"N/A","Large Standard-Size",5.83,9.53,13.03,11.88,"N/A","N/A","02/28/2026",241,8,92,14.58
"https://amazon.com/dp/B07ZCR1LMZ","https://m.media-amazon.com/images/I/61sQPV6KLBL._SX450_.jpg","B07ZCR1LMZ","Valvoline European Vehicle Full Synthetic SAE 0W-40 Motor Oil 5 QT, Case of 3","Valvoline","Amazon","Automotive",4,074130031845,00074130031845,0074130031845,"N/A","Motor Oils",1,102.57,9,61874,183,-25,2080298.89,18288.76,157,4.6,"Amazon","N/A",2,0,"N/A","Large bulky",9.25,13.23,15.16,28.75,"N/A","N/A","02/28/2026",79,8,92,394.1
"https://amazon.com/dp/B07ZCQPBX5","https://m.media-amazon.com/images/I/611L8j8m23L._SX450_.jpg","B07ZCQPBX5","Valvoline Advanced Full Synthetic SAE 0W-16 Motor Oil 1 QT, Case of 6","Valvoline","FBM","Automotive",4,074130029811,00074130029811,0074130029811,"N/A","Motor Oils",1,73,26,61874,162,-25,2080298.89,10447.88,613,4.7,"Metroplex Goods","USA",3,0,"N/A","Large Standard-Size",5.79,9.45,12.95,11.77,"N/A","N/A","02/28/2026",79,7,92,100.94
